Company Name,Asset Type,Percentage Allocation,Fund Type
Persistent Systems Ltd.,Equity,0.34%,Aggressive Hybrid Fund
7.84 Bajaj Housing Finance Ltd. Sep 23 2032,Debt,0.34%,Aggressive Hybrid Fund
6.93 Manappuram Finance Ltd. Jan 28 2024,Debt,0.34%,Aggressive Hybrid Fund
8.1 SMFG India Credit Company Ltd. (SMICC) (ErstwhileÂ  Fullerton India Credit Company Ltd.) Mar 22 2024,Debt,0.34%,Aggressive Hybrid Fund
7.1 GOI Apr 18 2029,Debt,0.34%,Aggressive Hybrid Fund
7.95 Tata Capital Financial Services Ltd. Feb  8 2028,Debt,0.33%,Aggressive Hybrid Fund
7.47 Small Industries Development Bank Of India Nov 25 2025,Debt,0.33%,Aggressive Hybrid Fund
1.5 HDFC Bank Ltd. Mar 27 2027,Debt,0.33%,Aggressive Hybrid Fund
7.42 Bajaj Housing Finance Ltd. Aug 12 2025,Debt,0.33%,Aggressive Hybrid Fund
7.42 Union Bank Of India Sep 16 2030,Debt,0.33%,Aggressive Hybrid Fund
IDFC First Bank Ltd. (Erstwhile IDFC Bank Ltd.),Equity,0.33%,Aggressive Hybrid Fund
Creamline Dairy Products Ltd. (90D),Others,0.33%,Aggressive Hybrid Fund
Timken India Ltd.,Equity,0.32%,Aggressive Hybrid Fund
Standard Chartered Capital Ltd. (Erstwhile Standard Chartered Investments & Loans (India) Ltd.) (365D),Others,0.32%,Aggressive Hybrid Fund
10.15 U.P. Power Corporation Ltd. Jan 20 2025,Debt,0.30%,Aggressive Hybrid Fund
The Phoenix Mills Ltd.,Equity,0.28%,Aggressive Hybrid Fund
7.38 GOI Jun 20 2027,Debt,0.27%,Aggressive Hybrid Fund
7.77 National Housing Bank Apr  2 2026,Debt,0.27%,Aggressive Hybrid Fund
7.18 GOI Aug 14 2033,Debt,0.27%,Aggressive Hybrid Fund
6.93 Manappuram Finance Ltd. Feb 28 2024,Debt,0.27%,Aggressive Hybrid Fund
Panatone Finvest Ltd. (364D),Others,0.27%,Aggressive Hybrid Fund
Jubilant Foodworks Ltd.,Equity,0.26%,Aggressive Hybrid Fund
6.17 LIC Housing Finance Ltd. Sep  3 2026,Debt,0.26%,Aggressive Hybrid Fund
Aarti Industries Ltd.,Equity,0.26%,Aggressive Hybrid Fund
Aditya Birla Capital Ltd.,Equity,0.24%,Aggressive Hybrid Fund
Cello World Ltd.,Equity,0.24%,Aggressive Hybrid Fund
GOI,Debt,0.22%,Aggressive Hybrid Fund
8.73 Union Bank Of India Dec 15 2120,Debt,0.22%,Aggressive Hybrid Fund
Jio Financial Services Ltd.,Equity,0.21%,Aggressive Hybrid Fund
First Business Receivables Trust,Debt,0.21%,Aggressive Hybrid Fund
First Business Receivables Trust,Debt,0.21%,Aggressive Hybrid Fund
7.97 HDFC Bank Ltd. Feb 17 2033,Debt,0.20%,Aggressive Hybrid Fund
GOI,Debt,0.20%,Aggressive Hybrid Fund
First Business Receivables Trust,Debt,0.20%,Aggressive Hybrid Fund
6.4 Embassy Office Parks Reit Feb 15 2024,Debt,0.20%,Aggressive Hybrid Fund
7.5 National Bank For Agriculture & Rural Development (Nabard) Dec 17 2025,Debt,0.20%,Aggressive Hybrid Fund
7.7 HDB Financial Services Ltd. Aug 11 2025,Debt,0.20%,Aggressive Hybrid Fund
First Business Receivables Trust,Debt,0.20%,Aggressive Hybrid Fund
ICICI Securities Ltd. (365D),Others,0.20%,Aggressive Hybrid Fund
6.7 Tata Capital Ltd. Mar 28 2025,Debt,0.20%,Aggressive Hybrid Fund
6.24 State Bank Of India Sep 20 2030,Debt,0.20%,Aggressive Hybrid Fund
Sona Blw Precision Forgings Ltd.,Equity,0.19%,Aggressive Hybrid Fund
First Business Receivables Trust,Debt,0.19%,Aggressive Hybrid Fund
GOI,Debt,0.18%,Aggressive Hybrid Fund
JSW Infrastructure Ltd. (Erstwhile Sarvoday Advisory Services Pvt. Ltd.),Equity,0.18%,Aggressive Hybrid Fund
J. K. Cement Ltd.,Equity,0.18%,Aggressive Hybrid Fund
Vedant Fashions Pvt. Ltd.,Equity,0.17%,Aggressive Hybrid Fund
Bharat Forge Ltd.,Equity,0.17%,Aggressive Hybrid Fund
6.35 Mindspace Business Parks Reit Dec 31 2024,Debt,0.17%,Aggressive Hybrid Fund
GOI,Debt,0.16%,Aggressive Hybrid Fund
GOI,Debt,0.16%,Aggressive Hybrid Fund
8.37 REC Ltd. Dec  7 2028,Debt,0.14%,Aggressive Hybrid Fund
7.72 GOI May 25 2025,Debt,0.14%,Aggressive Hybrid Fund
7.33 GOI Oct 30 2026,Debt,0.14%,Aggressive Hybrid Fund
7.89 Bajaj Housing Finance Ltd. Sep  8 2032,Debt,0.13%,Aggressive Hybrid Fund
7.79 Small Industries Development Bank Of India Apr 19 2027,Debt,0.13%,Aggressive Hybrid Fund
7.77 LIC Housing Finance Ltd. Aug 11 2028,Debt,0.13%,Aggressive Hybrid Fund
7.79 HDFC Bank Ltd. Mar  4 2025,Debt,0.13%,Aggressive Hybrid Fund
7.79 HDFC Bank Ltd. Nov 24 2032,Debt,0.13%,Aggressive Hybrid Fund
7.5 HDFC Bank Ltd. Jan  8 2025,Debt,0.13%,Aggressive Hybrid Fund
7.79 Bajaj Finance Ltd. Sep 20 2033,Debt,0.13%,Aggressive Hybrid Fund
7.2 National Bank For Agriculture & Rural Development (Nabard) Sep 23 2025,Debt,0.13%,Aggressive Hybrid Fund
5.6 Bajaj Housing Finance Ltd. Jun 21 2024,Debt,0.13%,Aggressive Hybrid Fund
Carborundum Universal Ltd.,Equity,0.13%,Aggressive Hybrid Fund
HDFC Bank Ltd. (364D),Others,0.13%,Aggressive Hybrid Fund
5.7 National Bank For Agriculture & Rural Development (Nabard) Jul 31 2025,Debt,0.13%,Aggressive Hybrid Fund
HCL Technologies Ltd.,Equity,0.13%,Aggressive Hybrid Fund
6.01 LIC Housing Finance Ltd. May 19 2026,Debt,0.13%,Aggressive Hybrid Fund
GOI,Debt,0.12%,Aggressive Hybrid Fund
GOI,Debt,0.12%,Aggressive Hybrid Fund
6.59 Summit Digitel Infrastructure Pvt. Ltd. (Erstwhile Reliance Jio Infratel Pvt. Ltd.) Jun 16 2026,Debt,0.10%,Aggressive Hybrid Fund
GOI,Debt,0.09%,Aggressive Hybrid Fund
GOI,Debt,0.08%,Aggressive Hybrid Fund
GOI,Debt,0.08%,Aggressive Hybrid Fund
8.15 Maharashtra SDL  Nov 26 2025,Debt,0.07%,Aggressive Hybrid Fund
8.21 Tamil Nadu SDL Jun 24 2025,Debt,0.07%,Aggressive Hybrid Fund
9.75 Jamnagar Utilities & Power Pvt. Ltd. Aug  2 2024,Debt,0.07%,Aggressive Hybrid Fund
8.7 Bharti Telecom Ltd. Nov 21 2024,Debt,0.07%,Aggressive Hybrid Fund
8 Mahindra & Mahindra Financial Services Ltd. Apr 25 2025,Debt,0.07%,Aggressive Hybrid Fund
7.23 Tamil Nadu SDL Jun 14 2027,Debt,0.07%,Aggressive Hybrid Fund
7.4 National Bank For Agriculture & Rural Development (Nabard) Jan 30 2026,Debt,0.07%,Aggressive Hybrid Fund
7.75 Bajaj Finance Ltd. May 16 2033,Debt,0.07%,Aggressive Hybrid Fund
7.18 Tamil Nadu SDL Jul 26 2027,Debt,0.07%,Aggressive Hybrid Fund
7.55 Tata Capital Housing Finance Ltd. Aug  5 2025,Debt,0.07%,Aggressive Hybrid Fund
Union Bank Of India,Others,0.07%,Aggressive Hybrid Fund
Bharti Airtel Ltd.,Equity,0.07%,Aggressive Hybrid Fund
GOI,Debt,0.06%,Aggressive Hybrid Fund
GOI,Debt,0.06%,Aggressive Hybrid Fund
GOI,Debt,0.06%,Aggressive Hybrid Fund
7.2 Uttar Pradesh SDL Jan 25 2027,Debt,0.06%,Aggressive Hybrid Fund
GOI,Debt,0.05%,Aggressive Hybrid Fund
8.15 GOI Nov 24 2026,Debt,0.04%,Aggressive Hybrid Fund
Other Margin,Debt,0.04%,Aggressive Hybrid Fund
7.08 Cholamandalam Investment & Finance Company Ltd. Mar 11 2025,Debt,0.03%,Aggressive Hybrid Fund
7.35 Tamil Nadu SDL Jun 14 2033,Debt,0.03%,Aggressive Hybrid Fund
8.8 Power Finance Corporation Ltd. Jan 15 2025,Debt,0.03%,Aggressive Hybrid Fund
8.08 Uttar Pradesh SDL Feb 25 2025,Debt,0.02%,Aggressive Hybrid Fund
7.27 GOI Apr  8 2026,Debt,0.01%,Aggressive Hybrid Fund
7.2 Maharashtra SDL  Aug  9 2027,Debt,0.01%,Aggressive Hybrid Fund
8.17 GOI Dec  1 2044,Debt,0.01%,Aggressive Hybrid Fund
Aditya Birla Sun Life Mutual Fund (Aditya Birla Sun Life Floating Rate Fund - Direct - Growth),Debt,0.01%,Aggressive Hybrid Fund
8.24 National Bank For Agriculture & Rural Development (Nabard) Mar 22 2029,Debt,0.01%,Aggressive Hybrid Fund
7.25 GOI Jun 12 2063,Debt,0.00%,Aggressive Hybrid Fund
7.39 Tamil Nadu SDL May 10 2033,Debt,0.00%,Aggressive Hybrid Fund
8.26 Maharashtra SDL  Dec 23 2025,Debt,0.00%,Aggressive Hybrid Fund
Cash,Others,0.00%,Aggressive Hybrid Fund
ICICI Bank Ltd.,Equity,5.48%,Aggressive Hybrid Fund
HDFC Bank Ltd.,Equity,5.34%,Aggressive Hybrid Fund
Bajaj Finance Ltd.,Equity,4.47%,Aggressive Hybrid Fund
Avenue Supermarts Ltd.,Equity,3.86%,Aggressive Hybrid Fund
CBLO(CCIL),Others,3.71%,Aggressive Hybrid Fund
Tata Consultancy Services Ltd.,Equity,3.67%,Aggressive Hybrid Fund
Infosys Ltd.,Equity,3.04%,Aggressive Hybrid Fund
7.18 GOI Aug 14 2033,Debt,2.72%,Aggressive Hybrid Fund
Reliance Industries Ltd.,Equity,2.44%,Aggressive Hybrid Fund
PI Industries Ltd.,Equity,2.26%,Aggressive Hybrid Fund
Larsen & Toubro Ltd.,Equity,2.26%,Aggressive Hybrid Fund
7.26 GOI Feb  6 2033,Debt,2.13%,Aggressive Hybrid Fund
State Bank Of India,Equity,1.88%,Aggressive Hybrid Fund
Bajaj Finserv Ltd.,Equity,1.73%,Aggressive Hybrid Fund
Bharti Airtel Ltd.,Equity,1.72%,Aggressive Hybrid Fund
HDB Financial Services Ltd.,Debt,1.62%,Aggressive Hybrid Fund
9 Bharti Telecom Ltd. Dec  4 2028,Debt,1.53%,Aggressive Hybrid Fund
8.6 Muthoot Finance Ltd. Aug 25 2025,Debt,1.51%,Aggressive Hybrid Fund
7.85 Bajaj Housing Finance Ltd. Sep  1 2028,Debt,1.51%,Aggressive Hybrid Fund
7.58 National Bank For Agriculture & Rural Development (Nabard) Jul 31 2026,Debt,1.51%,Aggressive Hybrid Fund
Sansera Engineering Ltd.,Equity,1.46%,Aggressive Hybrid Fund
Kotak Mahindra Bank Ltd.,Equity,1.38%,Aggressive Hybrid Fund
Fsn ECommerce Ventures Ltd.,Equity,1.36%,Aggressive Hybrid Fund
Sun Pharmaceuticals Ind Ltd.,Equity,1.30%,Aggressive Hybrid Fund
Godrej Consumer Products Ltd.,Equity,1.25%,Aggressive Hybrid Fund
Shree Cement Ltd.,Equity,1.24%,Aggressive Hybrid Fund
National Thermal Power Corporation Ltd.,Equity,1.23%,Aggressive Hybrid Fund
Divi Laboratories Ltd.,Equity,1.21%,Aggressive Hybrid Fund
GOI,Debt,1.16%,Aggressive Hybrid Fund
Mankind Pharma Ltd.,Equity,1.12%,Aggressive Hybrid Fund
Fine Organic Industries Ltd.,Equity,1.12%,Aggressive Hybrid Fund
Cholamandalam Investment & Finance Company Ltd.,Equity,1.11%,Aggressive Hybrid Fund
Nestle India Ltd.,Equity,1.07%,Aggressive Hybrid Fund
Alkem Laboratories Ltd.,Equity,1.04%,Aggressive Hybrid Fund
UNO Minda Ltd.,Equity,1.02%,Aggressive Hybrid Fund
Tata Motors Ltd.,Equity,1.01%,Aggressive Hybrid Fund
Brigade Enterprises Ltd.,Equity,1.01%,Aggressive Hybrid Fund
Mphasis Ltd.,Equity,1.00%,Aggressive Hybrid Fund
Sumitomo Chemical India Ltd.,Equity,0.96%,Aggressive Hybrid Fund
Motherson Sumi Wiring India Ltd.,Equity,0.95%,Aggressive Hybrid Fund
Mahindra & Mahindra Ltd.,Equity,0.95%,Aggressive Hybrid Fund
Vedant Fashions Pvt. Ltd.,Equity,0.93%,Aggressive Hybrid Fund
Clean Science & Technology Ltd.,Equity,0.92%,Aggressive Hybrid Fund
R R Kabel Ltd.,Equity,0.92%,Aggressive Hybrid Fund
Tata Steel Ltd.,Equity,0.91%,Aggressive Hybrid Fund
7.64 Power Finance Corporation Ltd. Feb 22 2033,Debt,0.91%,Aggressive Hybrid Fund
7.86 HDFC Bank Ltd. Dec  2 2032,Debt,0.91%,Aggressive Hybrid Fund
8.5 Aadhar Housing Finance Ltd. May 26 2026,Debt,0.90%,Aggressive Hybrid Fund
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,0.87%,Aggressive Hybrid Fund
6.83 HDFC Bank Ltd. Jan  8 2031,Debt,0.86%,Aggressive Hybrid Fund
Coal India Ltd.,Equity,0.84%,Aggressive Hybrid Fund
State Bank Of India,Equity,0.82%,Aggressive Hybrid Fund
Hindustan Unilever Ltd.,Equity,0.81%,Aggressive Hybrid Fund
Deepak Fertilizers & Petrochemicals Corporation Ltd.,Equity,0.81%,Aggressive Hybrid Fund
JB Chemicals & Pharmaceuticals Ltd.,Equity,0.79%,Aggressive Hybrid Fund
Canfin Homes Ltd.,Equity,0.78%,Aggressive Hybrid Fund
Apollo Hospitals Enterprise Ltd.,Equity,0.76%,Aggressive Hybrid Fund
Jio Financial Services Ltd.,Equity,0.72%,Aggressive Hybrid Fund
Aether Industries Ltd.,Equity,0.67%,Aggressive Hybrid Fund
Grasim Industries Ltd.,Equity,0.65%,Aggressive Hybrid Fund
Teamlease Services Ltd.,Equity,0.63%,Aggressive Hybrid Fund
Treasury Bill (182D),Others,0.60%,Aggressive Hybrid Fund
7.6 Poonawalla Fincorp Ltd. (Erstwhile Magma Fincorp Ltd.) Jul 19 2024,Debt,0.60%,Aggressive Hybrid Fund
9.95 Indostar Capital Finance Ltd. Aug  7 2025,Debt,0.60%,Aggressive Hybrid Fund
7.59 Mahanagar Telephone Nigam Ltd. Jul 20 2033,Debt,0.60%,Aggressive Hybrid Fund
Treasury Bill (182D),Others,0.60%,Aggressive Hybrid Fund
K P R Mill Ltd.,Equity,0.53%,Aggressive Hybrid Fund
Doms Industries Ltd.,Equity,0.51%,Aggressive Hybrid Fund
Zomato Ltd.,Equity,0.50%,Aggressive Hybrid Fund
Info Edge (India) Ltd.,Equity,0.49%,Aggressive Hybrid Fund
Navin Fluorine International Ltd.,Equity,0.47%,Aggressive Hybrid Fund
9.15 SK Finance Ltd. (Erstwhile Ess Kay Fincorp Ltd.) Feb  2 2025,Debt,0.45%,Aggressive Hybrid Fund
Cholamandalam Investment & Finance Company Ltd.,Equity,0.42%,Aggressive Hybrid Fund
Asian Paints Ltd.,Equity,0.35%,Aggressive Hybrid Fund
Suryoday Small Finance Bank Ltd.,Equity,0.32%,Aggressive Hybrid Fund
Maruti Suzuki India Ltd.,Equity,0.31%,Aggressive Hybrid Fund
7.8 Mahanagar Telephone Nigam Ltd. Nov  7 2033,Debt,0.30%,Aggressive Hybrid Fund
7.26 GOI Aug 22 2032,Debt,0.30%,Aggressive Hybrid Fund
7.25 Punjab National Bank Jul 29 2030,Debt,0.30%,Aggressive Hybrid Fund
4.04 GOI Oct  4 2028,Debt,0.26%,Aggressive Hybrid Fund
KFIN Technologies Ltd.,Equity,0.22%,Aggressive Hybrid Fund
Maruti Suzuki India Ltd.,Equity,0.19%,Aggressive Hybrid Fund
7.4 Power Finance Corporation Ltd. May  8 2030,Debt,0.18%,Aggressive Hybrid Fund
HCL Technologies Ltd.,Equity,0.18%,Aggressive Hybrid Fund
Schaeffler India Ltd.,Equity,0.14%,Aggressive Hybrid Fund
Data Patterns (India) Ltd.,Equity,0.12%,Aggressive Hybrid Fund
7.92 West Bengal SDL Mar 15 2027,Debt,0.12%,Aggressive Hybrid Fund
8.85 Power Finance Corporation Ltd. May 25 2029,Debt,0.06%,Aggressive Hybrid Fund
8.16 Karnataka Sdl Nov 26 2025,Debt,0.03%,Aggressive Hybrid Fund
Net Receivables/(Payable),Others,-4.51%,Aggressive Hybrid Fund
HDFC Bank Ltd.,Equity,5.84%,Aggressive Hybrid Fund
ICICI Bank Ltd.,Equity,4.84%,Aggressive Hybrid Fund
Infosys Ltd.,Equity,4.75%,Aggressive Hybrid Fund
7.77 REC Ltd. Mar 31 2028,Debt,3.72%,Aggressive Hybrid Fund
7.8955 Kotak Mahindra Prime Ltd. Dec 23 2024,Debt,3.70%,Aggressive Hybrid Fund
7.8 HDFC Bank Ltd. Jun  2 2025,Debt,3.70%,Aggressive Hybrid Fund
7.58 National Bank For Agriculture & Rural Development (Nabard) Jul 31 2026,Debt,3.69%,Aggressive Hybrid Fund
6.43 HDFC Bank Ltd. Sep 29 2025,Debt,3.62%,Aggressive Hybrid Fund
Reliance Industries Ltd.,Equity,3.45%,Aggressive Hybrid Fund
Axis Bank Ltd.,Equity,2.86%,Aggressive Hybrid Fund
National Thermal Power Corporation Ltd.,Equity,2.54%,Aggressive Hybrid Fund
Larsen & Toubro Ltd.,Equity,2.51%,Aggressive Hybrid Fund
Triparty Repo,Others,2.40%,Aggressive Hybrid Fund
7.9 Bajaj Finance Ltd. Nov 17 2025,Debt,2.22%,Aggressive Hybrid Fund
State Bank Of India,Equity,1.74%,Aggressive Hybrid Fund
ITC Ltd.,Equity,1.68%,Aggressive Hybrid Fund
Indusind Bank Ltd.,Equity,1.54%,Aggressive Hybrid Fund
Bharti Airtel Ltd.,Equity,1.53%,Aggressive Hybrid Fund
Maruti Suzuki India Ltd.,Equity,1.52%,Aggressive Hybrid Fund
Avenue Supermarts Ltd.,Equity,1.51%,Aggressive Hybrid Fund
Bajaj Auto Ltd.,Equity,1.31%,Aggressive Hybrid Fund
Sun Pharmaceuticals Ind Ltd.,Equity,1.23%,Aggressive Hybrid Fund
Bajaj Finance Ltd.,Equity,1.20%,Aggressive Hybrid Fund
Jindal Steel & Power Ltd.,Equity,1.11%,Aggressive Hybrid Fund
SRF Ltd.,Equity,1.06%,Aggressive Hybrid Fund
Kotak Mahindra Bank Ltd.,Equity,1.03%,Aggressive Hybrid Fund
HDFC Life Insurance Company Ltd.,Equity,1.01%,Aggressive Hybrid Fund
Tata Motors Ltd.,Equity,1.00%,Aggressive Hybrid Fund
Hero Motocorp Ltd.,Equity,0.98%,Aggressive Hybrid Fund
Greenply Industries Ltd.,Equity,0.97%,Aggressive Hybrid Fund
JK Lakshmi Cement Ltd.,Equity,0.96%,Aggressive Hybrid Fund
V-Mart Retail Ltd.,Equity,0.95%,Aggressive Hybrid Fund
Teamlease Services Ltd.,Equity,0.93%,Aggressive Hybrid Fund
6.79 GOI May 15 2027,Debt,0.88%,Aggressive Hybrid Fund
Mahindra & Mahindra Financial Services Ltd.,Equity,0.87%,Aggressive Hybrid Fund
Cipla Ltd.,Equity,0.87%,Aggressive Hybrid Fund
Oil & Natural Gas Corporation Ltd.,Equity,0.85%,Aggressive Hybrid Fund
Updater Services Ltd.,Equity,0.85%,Aggressive Hybrid Fund
Ltimindtree Ltd.,Equity,0.84%,Aggressive Hybrid Fund
Bosch Ltd.,Equity,0.82%,Aggressive Hybrid Fund
UNO Minda Ltd.,Equity,0.82%,Aggressive Hybrid Fund
SBI Cards & Payment Services Pvt. Ltd.,Equity,0.82%,Aggressive Hybrid Fund
Coforge Ltd.,Equity,0.79%,Aggressive Hybrid Fund
Voltas Ltd.,Equity,0.78%,Aggressive Hybrid Fund
Affle (India) Ltd.,Equity,0.78%,Aggressive Hybrid Fund
Endurance Technologies Ltd.,Equity,0.77%,Aggressive Hybrid Fund
IFB Industries Ltd.,Equity,0.77%,Aggressive Hybrid Fund
8.24 GOI Feb 15 2027,Debt,0.77%,Aggressive Hybrid Fund
Yatra Online Ltd.,Equity,0.76%,Aggressive Hybrid Fund
8.98 Power Finance Corporation Ltd. Oct  8 2024,Debt,0.75%,Aggressive Hybrid Fund
7.7 HDFC Bank Ltd. Nov 18 2025,Debt,0.74%,Aggressive Hybrid Fund
Suzlon Energy Ltd.,Equity,0.74%,Aggressive Hybrid Fund
Crompton Greaves Consumer Electrcials Ltd.,Equity,0.72%,Aggressive Hybrid Fund
Siemens Ltd.,Equity,0.71%,Aggressive Hybrid Fund
Aurobindo Pharma Ltd.,Equity,0.71%,Aggressive Hybrid Fund
Biocon Ltd.,Equity,0.70%,Aggressive Hybrid Fund
Dr Reddys Laboratories Ltd.,Equity,0.69%,Aggressive Hybrid Fund
EIH Ltd.,Equity,0.67%,Aggressive Hybrid Fund
United Spirits Ltd.,Equity,0.66%,Aggressive Hybrid Fund
Bajaj Consumer Care Ltd.,Equity,0.65%,Aggressive Hybrid Fund
Amber Enterprises India Ltd.,Equity,0.63%,Aggressive Hybrid Fund
PVR INOX Ltd.,Equity,0.62%,Aggressive Hybrid Fund
Whirlpool of India Ltd.,Equity,0.61%,Aggressive Hybrid Fund
Tech Mahindra Ltd.,Equity,0.57%,Aggressive Hybrid Fund
Bandhan Bank Ltd.,Equity,0.52%,Aggressive Hybrid Fund
Kaynes Technology India Pvt. Ltd.,Equity,0.48%,Aggressive Hybrid Fund
Hindalco Industries Ltd.,Equity,0.46%,Aggressive Hybrid Fund
7.69 National Bank For Agriculture & Rural Development (Nabard) May 29 2024,Debt,0.44%,Aggressive Hybrid Fund
Greenpanel Industries Ltd.,Equity,0.41%,Aggressive Hybrid Fund
Tata Steel Ltd.,Equity,0.40%,Aggressive Hybrid Fund
