Company Name,Asset Type,Percentage Allocation,Portfolio Date,Scheme Name,Fund Type
Kotak Mahindra Bank Ltd.,Equity,0.37%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.18 GOI Jul 24 2037,Debt,0.37%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Persistent Systems Ltd.,Equity,0.34%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.84 Bajaj Housing Finance Ltd. Sep 23 2032,Debt,0.34%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
6.93 Manappuram Finance Ltd. Jan 28 2024,Debt,0.34%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
8.1 SMFG India Credit Company Ltd. (SMICC) (ErstwhileÂ  Fullerton India Credit Company Ltd.) Mar 22 2024,Debt,0.34%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.1 GOI Apr 18 2029,Debt,0.34%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.95 Tata Capital Financial Services Ltd. Feb  8 2028,Debt,0.33%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.47 Small Industries Development Bank Of India Nov 25 2025,Debt,0.33%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.78 HDFC Bank Ltd. Mar 27 2027,Debt,0.33%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.42 Bajaj Housing Finance Ltd. Aug 12 2025,Debt,0.33%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.42 Union Bank Of India Sep 16 2030,Debt,0.33%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
IDFC First Bank Ltd. (Erstwhile IDFC Bank Ltd.),Equity,0.33%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Creamline Dairy Products Ltd. (90D),Others,0.33%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Timken India Ltd.,Equity,0.32%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Standard Chartered Capital Ltd. (Erstwhile Standard Chartered Investments & Loans (India) Ltd.) (365D),Others,0.32%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
10.15 U.P. Power Corporation Ltd. Jan 20 2025,Debt,0.30%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
The Phoenix Mills Ltd.,Equity,0.28%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.38 GOI Jun 20 2027,Debt,0.27%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.77 National Housing Bank Apr  2 2026,Debt,0.27%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.18 GOI Aug 14 2033,Debt,0.27%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
6.93 Manappuram Finance Ltd. Feb 28 2024,Debt,0.27%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Panatone Finvest Ltd. (364D),Others,0.27%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Jubilant Foodworks Ltd.,Equity,0.26%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
6.17 LIC Housing Finance Ltd. Sep  3 2026,Debt,0.26%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Aarti Industries Ltd.,Equity,0.26%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Aditya Birla Capital Ltd.,Equity,0.24%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Cello World Ltd.,Equity,0.24%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
GOI,Debt,0.22%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
8.73 Union Bank Of India Dec 15 2120,Debt,0.22%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Jio Financial Services Ltd.,Equity,0.21%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
First Business Receivables Trust,Debt,0.21%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
First Business Receivables Trust,Debt,0.21%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.97 HDFC Bank Ltd. Feb 17 2033,Debt,0.20%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
GOI,Debt,0.20%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
First Business Receivables Trust,Debt,0.20%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
6.4 Embassy Office Parks Reit Feb 15 2024,Debt,0.20%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.5 National Bank For Agriculture & Rural Development (Nabard) Dec 17 2025,Debt,0.20%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.7 HDB Financial Services Ltd. Aug 11 2025,Debt,0.20%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
First Business Receivables Trust,Debt,0.20%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
ICICI Securities Ltd. (365D),Others,0.20%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
6.7 Tata Capital Ltd. Mar 28 2025,Debt,0.20%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
6.24 State Bank Of India Sep 20 2030,Debt,0.20%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Sona Blw Precision Forgings Ltd.,Equity,0.19%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
First Business Receivables Trust,Debt,0.19%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
GOI,Debt,0.18%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
JSW Infrastructure Ltd. (Erstwhile Sarvoday Advisory Services Pvt. Ltd.),Equity,0.18%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
J. K. Cement Ltd.,Equity,0.18%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Vedant Fashions Pvt. Ltd.,Equity,0.17%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Bharat Forge Ltd.,Equity,0.17%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
6.35 Mindspace Business Parks Reit Dec 31 2024,Debt,0.17%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
GOI,Debt,0.16%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
GOI,Debt,0.16%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
8.37 REC Ltd. Dec  7 2028,Debt,0.14%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.72 GOI May 25 2025,Debt,0.14%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.33 GOI Oct 30 2026,Debt,0.14%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.89 Bajaj Housing Finance Ltd. Sep  8 2032,Debt,0.13%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.79 Small Industries Development Bank Of India Apr 19 2027,Debt,0.13%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.77 LIC Housing Finance Ltd. Aug 11 2028,Debt,0.13%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.79 HDFC Bank Ltd. Mar  4 2025,Debt,0.13%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.79 HDFC Bank Ltd. Nov 24 2032,Debt,0.13%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.5 HDFC Bank Ltd. Jan  8 2025,Debt,0.13%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.79 Bajaj Finance Ltd. Sep 20 2033,Debt,0.13%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.2 National Bank For Agriculture & Rural Development (Nabard) Sep 23 2025,Debt,0.13%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
5.6 Bajaj Housing Finance Ltd. Jun 21 2024,Debt,0.13%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Carborundum Universal Ltd.,Equity,0.13%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
HDFC Bank Ltd. (364D),Others,0.13%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
5.7 National Bank For Agriculture & Rural Development (Nabard) Jul 31 2025,Debt,0.13%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
HCL Technologies Ltd.,Equity,0.13%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
6.01 LIC Housing Finance Ltd. May 19 2026,Debt,0.13%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
GOI,Debt,0.12%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
GOI,Debt,0.12%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
6.59 Summit Digitel Infrastructure Pvt. Ltd. (Erstwhile Reliance Jio Infratel Pvt. Ltd.) Jun 16 2026,Debt,0.10%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
GOI,Debt,0.09%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
GOI,Debt,0.08%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
GOI,Debt,0.08%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
8.15 Maharashtra SDL  Nov 26 2025,Debt,0.07%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
8.21 Tamil Nadu SDL Jun 24 2025,Debt,0.07%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
9.75 Jamnagar Utilities & Power Pvt. Ltd. Aug  2 2024,Debt,0.07%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
8.7 Bharti Telecom Ltd. Nov 21 2024,Debt,0.07%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
8 Mahindra & Mahindra Financial Services Ltd. Apr 25 2025,Debt,0.07%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.23 Tamil Nadu SDL Jun 14 2027,Debt,0.07%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.4 National Bank For Agriculture & Rural Development (Nabard) Jan 30 2026,Debt,0.07%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.75 Bajaj Finance Ltd. May 16 2033,Debt,0.07%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.18 Tamil Nadu SDL Jul 26 2027,Debt,0.07%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.55 Tata Capital Housing Finance Ltd. Aug  5 2025,Debt,0.07%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Union Bank Of India,Others,0.07%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Bharti Airtel Ltd.,Equity,0.07%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
GOI,Debt,0.06%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
GOI,Debt,0.06%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
GOI,Debt,0.06%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.2 Uttar Pradesh SDL Jan 25 2027,Debt,0.06%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
GOI,Debt,0.05%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
8.15 GOI Nov 24 2026,Debt,0.04%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Other Margin,Debt,0.04%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.08 Cholamandalam Investment & Finance Company Ltd. Mar 11 2025,Debt,0.03%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.35 Tamil Nadu SDL Jun 14 2033,Debt,0.03%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
8.8 Power Finance Corporation Ltd. Jan 15 2025,Debt,0.03%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
8.08 Uttar Pradesh SDL Feb 25 2025,Debt,0.02%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.27 GOI Apr  8 2026,Debt,0.01%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.2 Maharashtra SDL  Aug  9 2027,Debt,0.01%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
8.17 GOI Dec  1 2044,Debt,0.01%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Aditya Birla Sun Life Mutual Fund (Aditya Birla Sun Life Floating Rate Fund - Direct - Growth),Debt,0.01%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
8.24 National Bank For Agriculture & Rural Development (Nabard) Mar 22 2029,Debt,0.01%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.25 GOI Jun 12 2063,Debt,0.00%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.39 Tamil Nadu SDL May 10 2033,Debt,0.00%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
8.26 Maharashtra SDL  Dec 23 2025,Debt,0.00%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Cash,Others,0.00%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
