Company Name,Count,Percentage Allocation,Asset Type
Indian Energy Exchange Ltd.,3,2.16,Equity
Go Fashion (India) Ltd.,4,2.15,Equity
Apollo Tyres Ltd.,2,2.14,Equity
Poly Medicure Ltd.,2,2.14,Equity
Century Plyboards Ltd.,2,2.14,Equity
Medplus Health Services Ltd.,2,2.1,Equity
Vinati Organics Ltd.,2,2.08,Equity
Safari Industries (India) Ltd.,3,2.06,Equity
IDEAForge Technology Ltd.,3,2.05,Equity
Biocon Ltd.,2,2.04,Equity
Honeywell Automation India Ltd.,2,2.0100000000000002,Equity
Td Power Systems Ltd.,2,2.0100000000000002,Equity
Ganesha Ecosphere Ltd.,2,2.01,Equity
Pfizer Ltd.,3,1.97,Equity
E.I.D. Parry India Ltd.,2,1.96,Equity
Aegis Logistics Ltd.,2,1.95,Equity
Capri Global Capital Ltd.,1,1.92,Equity
STAR HEALTH & ALLIED INSURANCE COMPANY Ltd.,2,1.9100000000000001,Equity
UPL Ltd. (Erstwhile United Phosphorus Ltd.),1,1.91,Equity
Thermax Ltd.,1,1.9,Equity
Wipro Ltd.,1,1.86,Equity
Spandana Sphoorty Financial Ltd.,2,1.85,Equity
Hindware Home Innovation Ltd.,1,1.85,Equity
Sun T V Network Ltd.,2,1.84,Equity
Bharat Dynamics Ltd.,2,1.83,Equity
Prince Pipes & Fittings Ltd.,2,1.83,Equity
Petronet Lng Ltd.,2,1.82,Equity
MRF Ltd.,2,1.81,Equity
Bandhan Bank Ltd.,2,1.8,Equity
ICRA Ltd.,2,1.78,Equity
Reverse Repo,1,1.77,Others
Vesuvius India Ltd.,2,1.74,Equity
Suprajit Engineering Ltd.,1,1.74,Equity
Valiant Organics Ltd.,1,1.73,Equity
Swan Energy Ltd.,1,1.72,Equity
Gulf Oil Lubricants India Ltd.,1,1.72,Equity
IDFC Ltd.,2,1.6600000000000001,Equity
Godfrey Phillips India Ltd.,1,1.65,Equity
Inox Wind Ltd.,1,1.65,Equity
Angel One Ltd. (Erstwhile Angel Broking Ltd.),2,1.65,Equity
Eris Lifesciences Ltd.,2,1.65,Equity
Strides Pharma Science Ltd.,2,1.62,Equity
Sapphire Foods India Ltd.,3,1.62,Equity
Eureka Forbes Ltd.,2,1.5899999999999999,Equity
Usha Martin Ltd.,1,1.57,Equity
Sheela Foam Ltd.,2,1.56,Equity
Cholamandalam Financial Holdings Ltd.,3,1.55,Equity
Novo Nordisk A/S,1,1.55,Equity
J K Paper Ltd.,1,1.54,Equity
Sanghvi Movers Ltd.,1,1.53,Equity
Nippon Life India Asset Management Ltd.,2,1.52,Equity
JSW Energy Ltd.,1,1.52,Equity
Karnataka Bank Ltd.,1,1.51,Equity
Ahluwalia Contracts Ltd.,1,1.49,Equity
SAI Silks (Kalamandir) Ltd.,2,1.49,Equity
IRB Infrastructure Developers Ltd.,1,1.48,Equity
Rolex Rings Ltd.,3,1.47,Equity
Nifty,1,1.47,Equity
Amber Enterprises India Ltd.,2,1.45,Equity
RED TAPE Ltd.,1,1.44,Equity
Atul Auto Ltd.,1,1.43,Equity
Steel Authority Of India Ltd.,2,1.4,Equity
Gujarat State Petronet Ltd.,2,1.4,Equity
Indian Bank,1,1.39,Equity
Indian Railway Catering & Tourism Corporation Ltd.,2,1.38,Equity
Berger Paints India Ltd.,1,1.38,Equity
ITD Cementation India Ltd.,1,1.37,Equity
First Source Solutions Ltd.,1,1.36,Equity
West Coast Paper Mills Ltd.,1,1.3,Equity
Standard Chartered Capital Ltd. (Erstwhile Standard Chartered Investments & Loans (India) Ltd.) (240D),1,1.29,Others
Triveni Engineering & Industries Ltd.,1,1.28,Equity
Whirlpool of India Ltd.,2,1.28,Equity
Praj Industries Ltd.,1,1.27,Equity
Jamna Auto Industries Ltd.,1,1.26,Equity
BLS International Services Ltd.,1,1.24,Equity
Ingersoll-Rand  Ltd.,2,1.23,Equity
Elgi Equipments Ltd.,1,1.23,Equity
Greenpanel Industries Ltd.,2,1.23,Equity
Engineers India Ltd.,1,1.23,Equity
Relaxo Footwears Ltd.,2,1.2200000000000002,Equity
Sobha Ltd.,1,1.22,Equity
VIP Industries Ltd.,1,1.21,Equity
Nazara Technologies Ltd.,2,1.19,Equity
Godrej Agrovet Ltd.,1,1.19,Equity
Neuland Laboratories Ltd.,1,1.19,Equity
Rossari Biotech Ltd.,2,1.1800000000000002,Equity
Natco Pharma Ltd.,1,1.18,Equity
Brookfield REIT,1,1.18,Others
Endurance Technologies Ltd.,1,1.18,Equity
Adani Green Energy Ltd.,1,1.17,Equity
Alembic Pharmaceuticals Ltd.,1,1.17,Equity
Campus Activewear Ltd.,1,1.17,Equity
GMM Pfaudler Ltd.,2,1.17,Equity
KSB Ltd.,1,1.15,Equity
Laurus Labs Ltd.,1,1.15,Equity
NIIT Learning Systems Ltd.,1,1.13,Equity
V-Guard Industries Ltd.,1,1.13,Equity
Indoco Remedies Ltd.,1,1.13,Equity
Restaurant Brands Asia Ltd.,1,1.1,Equity
Graphite India Ltd.,1,1.1,Equity
GMR Airports Infrastructure Ltd.,1,1.09,Equity
Vijaya Diagnostic Centre Ltd.,2,1.08,Equity
G R Infraprojects Ltd.,2,1.08,Equity
Minda Corporation Ltd.,1,1.07,Equity
S.J.S. Enterprises Ltd.,1,1.07,Equity
Godrej Properties Ltd.,1,1.07,Equity
Dishman Carbogen AMCIS Ltd.,1,1.04,Equity
Rajratan Global Wire Ltd.,1,1.03,Equity
NLC India Ltd.,1,1.03,Equity
Castrol India Ltd.,2,1.01,Equity
Jindal Saw Ltd.,1,0.99,Equity
Alphabet Inc Class C,1,0.99,Equity
Yatra Online Ltd.,2,0.99,Equity
Senco Gold Ltd.,2,0.97,Equity
Galaxy Surfactants Ltd.,1,0.97,Equity
Vishnu Chemicals Ltd.,1,0.96,Equity
Prataap Snacks Ltd.,1,0.95,Equity
Kalpataru Projects International Ltd.,1,0.93,Equity
Rishabh Instruments Ltd.,2,0.91,Equity
Titagarh Railsystems Ltd.,1,0.91,Equity
RHI Magnesita India Ltd.,3,0.9,Equity
Mazagon Dock Shipbuilders Ltd.,1,0.9,Equity
Blue Dart Express Ltd.,1,0.9,Equity
Kansai Nerolac Paints Ltd.,1,0.9,Equity
ITI Mutual Fund (ITI Banking & PSU Debt Fund - Direct - Growth),1,0.9,Debt
MSTC Ltd.,1,0.89,Equity
Tata Chemicals Ltd.,2,0.88,Equity
Landmark Cars Ltd.,1,0.87,Equity
Zydus Wellness Ltd.,1,0.87,Equity
Star Cement Ltd.,1,0.87,Equity
Healthcare Global Enterprises Ltd.,1,0.86,Equity
Housing & Urban Development Corporation Ltd. (Hudco),1,0.85,Equity
Kirloskar Ferrous Industries Ltd.,1,0.84,Equity
Wendt India Ltd.,1,0.83,Equity
Uniparts India Ltd.,2,0.8200000000000001,Equity
Harsha Engineers International Ltd.,1,0.8,Equity
C.E. Info Systems Ltd.,1,0.79,Equity
Ion Exchange (India) Ltd.,1,0.78,Equity
Gujarat Pipavav Port Ltd.,1,0.78,Equity
Chalet Hotels Ltd.,1,0.75,Equity
Alicon Castalloy Ltd.,1,0.74,Equity
Sansera Engineering Ltd.,1,0.74,Equity
L G Balakrishnan & Bros Ltd.,1,0.74,Equity
IRM Energy Ltd.,1,0.73,Equity
Genus Power Infrastructures Ltd.,1,0.72,Equity
Welspun India Ltd.,1,0.7,Equity
Gokaldas Exports Ltd.,1,0.69,Equity
Mastercard. Inc.,1,0.67,Equity
NBCC (India) Ltd.,1,0.67,Equity
Newgen Software Technologies Ltd.,1,0.67,Equity
Intellect Design Arena Ltd.,1,0.65,Equity
Gandhar Oil Refinery (India) Ltd.,1,0.64,Equity
Cello World Ltd.,2,0.64,Equity
Bayer Cropscience Ltd.,2,0.64,Equity
The South Indian Bank Ltd.,1,0.64,Equity
Gujarat Gas Ltd.,1,0.64,Equity
Nucleus Software Exports Ltd.,1,0.63,Equity
Kewal Kiran Clothing Ltd.,1,0.63,Equity
UTI Asset Management Company Ltd.,1,0.62,Equity
H.G. Infra Engineering Ltd.,1,0.62,Equity
Power Mech Projects Ltd.,1,0.61,Equity
Stylam Industries Ltd.,1,0.61,Equity
Life Insurance Corporation of India,2,0.6,Equity
Teamlease Services Ltd.,1,0.59,Equity
Butterfly Gandhimathi Appliances Ltd.,1,0.58,Equity
Honasa Consumer Ltd.,1,0.57,Equity
Clean Science & Technology Ltd.,1,0.56,Equity
Arvind Fashions Ltd.,1,0.55,Equity
Granules India Ltd.,1,0.54,Equity
Aether Industries Ltd.,2,0.54,Equity
Other Margin,2,0.5,Debt
Gujarat Ambuja Exports Ltd.,1,0.5,Equity
NMDC Steel Ltd,2,0.49,Equity
Macrotech Developers Ltd.,1,0.49,Equity
Shivalik Bimetal Controls Ltd.,1,0.49,Equity
Barbeque Nation Hospitality Ltd.,1,0.48,Equity
Wheels India Ltd.,1,0.48,Equity
Globus Spirits Ltd.,1,0.47,Equity
Happiest Minds Technologies Ltd.,1,0.45,Equity
Varroc Engineering Pvt. Ltd.,1,0.45,Equity
Somany Ceramics Ltd.,1,0.45,Equity
Radiant Cash Management Services Ltd.,1,0.43,Equity
Sundaram Clayton Dcd Ltd,4,0.43,Equity
Treasury Bill (182D),3,0.42000000000000004,Others
Jupiter Life Line Hospitals Ltd.,2,0.41000000000000003,Equity
Bajel Projects Limited (BPL),3,0.41000000000000003,Equity
Paradeep Phosphates Ltd.,1,0.41,Equity
Garware Technical Fibres Ltd.,1,0.41,Equity
Jupiter Wagons Ltd.,1,0.41,Equity
Tata Elxsi Ltd.,1,0.41,Equity
Ambika Cotton Mills Ltd.,1,0.4,Equity
Amara Raja Batteries Ltd.,1,0.4,Equity
PNC Infratech Ltd.,1,0.39,Equity
Dreamfolks Services Ltd.,1,0.39,Equity
Johnson Controls - Hitachi Air Conditioning India Ltd.,1,0.38,Equity
KNR Constructions Ltd.,1,0.38,Equity
Mahanagar Gas Ltd.,1,0.37,Equity
Bank Of India,1,0.35,Equity
The Jammu & Kashmir Bank Ltd.,1,0.35,Equity
Procter & Gamble Hygiene & Healthcare Ltd.,1,0.3,Equity
Dish TV India Ltd.,1,0.3,Equity
TVS Supply Chain Solutions Ltd.,1,0.28,Equity
Saregama India Ltd.,1,0.26,Equity
7.6 Muthoot Finance Ltd. Apr 20 2026,1,0.24,Debt
Axis Bank Ltd. (365D),5,0.22,Debt
Suryoday Small Finance Bank Ltd.,1,0.22,Equity
Aarti Pharmalabs Ltd,1,0.2,Equity
Disa India Ltd.,1,0.19,Equity
Axis Bank Ltd. (364D),4,0.16,Debt
Nesco Ltd.,1,0.15,Equity
Kotak Mahindra Mutual Fund (Kotak Liquid Fund - Direct - Growth),1,0.14,Debt
Maharashtra Scooters Ltd.,1,0.13,Equity
Kotak Mahindra Investments Ltd. (291D),1,0.13,Others
Data Patterns (India) Ltd.,1,0.13,Equity
Cash Margin,4,0.12000000000000001,Debt
Aeroflex Industries Ltd.,1,0.12,Equity
6 HDFC Bank Ltd. May 29 2026,1,0.12,Debt
BEML Land Assets Ltd.,2,0.11000000000000001,Equity
Akzo Nobel India Ltd.,1,0.11,Equity
Orient Electric Ltd.,1,0.11,Equity
Ramco Systems Ltd.,1,0.1,Equity
Tatva Chintan Pharma Chem Ltd.,1,0.08,Equity
Indian Renewable Energy Development Agency (Ireda),2,0.08,Equity
Solara Active Pharma Sciences Ltd.,1,0.08,Equity
Axis Bank Ltd. (366D),6,0.06,Debt
National Bank For Agriculture & Rural Development (Nabard),1,0.05,Others
HDFC Bank Ltd. (364D),1,0.05,Others
Poddar Housing & Development Ltd.,1,0.04,Equity
IKIO Lighting Ltd.,1,0.03,Equity
Digidrive Distributors Ltd.,1,0.02,Equity
Axis Bank Ltd. (368D),2,0.02,Debt
