Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,Sector,CMP / BV,ROA 12M  %,Debt / Eq,ROE  %,Prom. Hold.  %,Earnings Yield  %,Pledged  %,Ind PE,EV  Rs.Cr.,No. Eq. Shares  Cr.,B.V.  Rs.,Inven TO,Quick Rat,Export  %,Piotski Scr,G Factor,Asset Turnover,Leverage,Unpledged Prom Hold  %,ROIC  %,Debtor days,Ind PBV,Credit Rate,WC Days,BEP  %,Graham's Number  Rs.,Cash Cycle,Days Payable,Days Receivable,Inventory Days,Public Hold  %,FII Hold  %,Chg in FII Hold  %,DII Hold  %,Chg in DII Hold  %,Symbol
TAAL Enterprises,2022.0,19.51,630.12,1.11,8.51,14.38,48.3,35.14,38.14,Air Transport Service,5.08,21.21,0.08,28.03,51.1,8.16,0.0,22.01,583.66,0.31,398.42,,5.09,0.0,6,5,1.08,1.19,51.1,26.93,79.82,3.28,,117.39,30.5,963.93,79.82,,79.82,,46.65,2.25,0.04,0.0,0.0,BSE: 539956
Global Vectra,80.7,,112.98,0.0,-1.39,86.49,117.77,20.78,0.62,Air Transport Service,4.02,-2.31,14.73,-48.53,75.0,4.18,0.0,22.01,511.71,1.4,20.07,0.0,0.44,0.0,6,5,0.57,25.58,75.0,0.62,19.82,3.28,,-69.44,2.78,,19.82,,19.82,,25.0,0.0,0.0,0.0,0.0,NSE : GLOBALVECT
Jet Freight,9.9,,45.94,0.51,-3.03,-397.06,113.55,-14.91,6.01,Air Transport Service,0.74,0.05,0.98,0.14,51.19,1.56,26.02,22.01,98.32,4.64,13.41,,0.82,2.62,3,4,3.16,2.12,37.87,0.77,39.41,3.28,,20.31,0.99,,39.41,,39.41,,48.81,0.0,0.0,0.0,0.0,NSE : JETFREIGHT
MFL India,0.74,,26.66,0.0,-0.5,-2600.0,14.09,11641.67,0.0,Air Transport Service,52.28,0.0,29.41,0.0,0.42,-1.26,0.0,22.01,41.31,36.03,0.01,13.69,3.46,0.0,2,4,1.46,18.47,0.42,0.0,80.96,3.28,,183.43,-2.84,,-217.05,351.33,80.96,53.31,99.57,0.0,0.0,0.0,0.0,BSE: 526622
United Spirits,1012.45,59.72,73640.64,0.0,476.7,67.94,2667.8,10.28,19.92,Alcoholic Beverages,12.27,10.33,0.03,17.52,56.67,2.13,1.19,29.77,72940.64,72.74,82.48,1.93,1.03,0.0,5,3,1.14,1.55,56.0,25.79,83.72,4.28,,54.15,15.97,185.43,122.39,154.03,83.72,192.7,14.77,15.92,0.54,12.64,-0.06,NSE : MCDOWELL-N
United Breweries,1546.45,131.31,40888.14,0.48,136.34,-15.97,2274.79,-6.72,11.45,Alcoholic Beverages,10.31,5.35,0.0,8.27,72.72,1.03,14.45,29.77,40508.47,26.44,149.96,1.57,0.99,0.0,4,1,1.23,1.54,62.21,10.15,68.49,4.28,,49.57,6.66,188.38,228.05,160.94,68.49,320.51,5.16,6.31,-0.12,14.65,0.24,NSE : UBL
Radico Khaitan,1257.5,80.3,16813.73,0.24,63.25,8.51,953.92,25.94,11.66,Alcoholic Beverages,7.81,6.38,0.35,9.88,40.27,1.8,0.0,29.77,17436.6,13.37,160.99,2.91,1.07,0.0,4,2,0.98,1.49,40.27,9.1,95.7,4.28,,125.66,8.55,238.2,183.66,54.9,95.7,142.86,17.71,18.26,-0.37,23.76,0.25,NSE : RADICO
Sula Vineyards,491.85,44.44,4150.54,1.07,16.38,45.21,107.56,24.55,19.92,Alcoholic Beverages,7.45,10.78,0.35,18.29,27.27,3.35,9.56,29.77,4313.7,8.44,65.98,0.53,0.87,0.0,7,4,0.6,1.48,24.66,15.47,77.58,4.28,,181.22,16.26,128.75,513.44,375.55,77.58,811.41,55.73,6.78,0.92,10.23,-1.53,NSE : SULA
Tilaknagar Inds.,215.9,42.67,4133.76,0.05,25.75,2375.96,304.1,32.48,15.55,Alcoholic Beverages,8.29,7.13,0.53,23.89,42.02,2.99,75.82,29.77,4345.12,19.15,26.06,6.54,1.0,0.0,6,4,1.15,2.1,10.16,14.65,106.21,4.28,,94.86,12.83,74.8,98.55,76.49,106.21,68.82,47.39,10.57,-0.33,0.01,0.0,NSE : TI
Globus Spirits,892.4,20.78,2570.36,0.67,38.78,4.05,570.09,15.07,18.51,Alcoholic Beverages,2.9,8.64,0.33,14.73,51.01,6.98,0.0,29.77,2825.93,2.88,307.83,11.45,0.76,0.0,5,6,1.49,1.6,51.01,12.87,36.68,4.28,,30.99,12.4,545.4,19.8,63.52,36.68,46.65,35.29,4.76,0.0,8.93,3.45,NSE : GLOBUSSPR
Som Distilleries,319.8,36.17,2470.79,0.08,33.67,31.22,385.02,51.4,15.65,Alcoholic Beverages,6.59,7.48,0.65,18.14,34.47,3.7,0.0,29.77,2700.34,7.73,48.56,4.42,0.8,0.0,7,3,1.0,2.15,34.47,13.56,64.32,4.28,,64.21,10.96,98.6,83.17,82.9,64.32,101.75,64.29,1.08,-0.02,0.15,0.15,NSE : SOMANYCERA
India Glycols,769.7,18.46,2382.99,0.97,51.14,85.36,689.01,-14.73,8.36,Alcoholic Beverages,1.25,2.61,0.58,5.93,61.01,8.02,0.0,29.77,3381.99,3.1,614.12,2.4,0.48,0.0,5,3,0.56,2.5,61.01,6.86,59.25,4.28,,29.63,5.59,810.52,59.8,208.55,59.25,209.1,35.86,1.16,-0.01,1.97,-2.2,NSE : INDIAGLYCO
Piccadily Agro,125.5,46.05,1183.96,0.16,10.96,44.58,218.82,18.83,12.8,Alcoholic Beverages,5.11,3.98,0.66,10.19,70.97,3.87,0.0,29.77,1331.77,9.43,24.54,2.13,0.37,0.0,5,5,1.09,2.42,70.97,10.66,41.62,4.28,,63.01,8.69,38.81,102.6,139.86,41.62,200.84,29.02,0.0,0.0,0.0,0.0,BSE: 530305
G M Breweries,598.05,10.55,1093.09,1.0,19.91,23.21,146.86,3.41,19.72,Alcoholic Beverages,1.6,13.24,0.0,14.95,74.43,12.79,0.0,29.77,1069.22,1.83,373.01,7.07,0.84,0.0,5,5,0.83,1.05,74.43,45.77,0.19,4.28,,-0.56,17.77,689.79,42.16,13.44,0.19,55.41,25.26,0.3,-1.36,0.02,0.02,NSE : GMBREW
Tube Investments,2988.15,65.89,57750.76,0.12,283.69,13.91,3897.66,3.21,37.66,Auto Ancillaries,14.61,13.75,0.18,26.97,46.12,2.94,0.03,30.92,57523.23,19.33,204.57,7.54,0.84,0.0,8,3,1.57,2.42,46.11,25.75,51.93,3.41,,5.66,16.53,482.3,16.05,86.11,51.93,50.23,11.77,29.41,0.49,12.25,0.46,NSE : TIINDIA
Bosch,18986.8,37.35,55998.98,2.53,409.0,22.38,4158.4,17.32,17.39,Auto Ancillaries,5.09,9.01,0.0,13.15,70.54,3.73,0.0,30.92,53995.28,2.95,3733.76,5.27,1.24,0.0,6,5,0.94,1.44,70.54,29.48,46.52,3.41,,26.45,12.4,6534.99,14.8,105.12,46.52,73.4,8.89,3.88,0.18,16.7,-0.08,NSE : BOSCHLTD
Uno Minda,609.55,50.81,34932.84,0.25,180.17,24.47,3092.66,21.03,19.21,Auto Ancillaries,8.4,9.23,0.34,17.09,70.05,2.8,0.0,30.92,36154.91,57.31,72.53,6.36,0.75,0.0,6,4,1.49,1.81,70.05,16.24,55.98,3.41,,36.63,12.24,139.94,37.33,85.92,55.98,67.27,6.7,6.3,-2.58,16.96,2.64,NSE : UNOMINDA
Sona BLW Precis.,592.25,79.48,34671.24,0.47,112.04,50.54,731.38,25.18,22.05,Auto Ancillaries,15.14,13.88,0.13,18.29,29.76,1.67,0.0,30.92,34896.59,58.54,39.12,3.75,1.36,0.0,4,5,0.95,1.23,29.76,17.71,83.06,3.41,,86.31,19.07,80.57,105.2,74.48,83.06,96.62,10.35,31.68,6.99,28.2,-3.08,NSE : SONACOMS
Motherson Wiring,65.95,60.22,29157.21,0.99,123.13,-2.25,1858.79,11.24,43.82,Auto Ancillaries,21.91,17.82,0.28,39.79,61.73,2.28,0.0,30.92,29493.01,442.11,3.01,4.3,0.72,0.0,3,3,2.59,2.05,61.73,32.41,41.4,3.41,,49.09,23.16,8.61,63.77,72.95,41.4,95.32,9.33,10.93,1.01,17.77,-1.17,NSE : MSUMI
ZF Commercial,14807.9,79.08,28075.78,0.09,99.76,59.87,960.54,20.31,18.87,Auto Ancillaries,11.66,11.08,0.0,13.86,75.0,1.79,0.0,30.92,26907.08,1.9,1270.12,14.81,3.72,0.0,8,4,1.22,1.17,75.0,14.51,80.31,3.41,,46.06,15.91,2312.81,46.5,59.59,80.31,25.79,7.58,1.27,-0.05,16.13,0.08,NSE : ZFCVINDIA
Sundram Fasten.,1274.2,55.06,26774.56,0.52,128.74,-6.19,1410.76,0.05,19.41,Auto Ancillaries,8.88,11.11,0.24,17.35,48.51,2.52,0.0,30.92,27417.87,21.01,143.52,3.13,1.04,0.0,6,2,1.27,1.48,48.51,14.69,73.77,3.41,,93.85,14.94,273.36,129.82,79.34,73.77,135.38,20.91,11.95,0.3,18.64,-0.17,NSE : SUNDRMFAST
Endurance Tech.,1659.6,43.26,23344.41,0.42,163.5,47.39,2449.96,15.9,13.77,Auto Ancillaries,5.29,7.45,0.12,11.31,75.0,3.14,0.0,30.92,23571.47,14.07,313.67,7.56,0.89,25.02,5,4,1.39,1.43,75.0,12.25,48.18,3.41,,22.59,10.88,520.37,6.87,97.31,48.18,56.0,1.74,7.34,-0.31,15.91,0.36,NSE : ENDURANCE
Exide Inds.,265.75,26.84,22588.75,0.75,224.11,9.82,4245.48,5.56,10.27,Auto Ancillaries,2.03,5.52,0.05,7.28,45.99,5.4,0.0,30.92,23036.83,85.0,130.97,3.47,0.55,0.0,6,3,1.05,1.29,45.99,14.37,29.76,3.41,,50.13,8.43,170.88,85.49,65.42,29.76,121.15,21.36,12.86,0.54,19.77,0.85,NSE : EXIDEIND
JBM Auto,1501.4,137.88,17753.62,0.09,30.28,16.93,946.22,9.39,11.76,Auto Ancillaries,17.24,3.69,1.65,12.9,67.53,1.62,0.0,30.92,19412.11,11.82,87.09,6.63,0.66,0.0,4,3,1.14,3.29,67.53,8.99,44.39,3.41,,79.27,8.89,146.07,42.71,58.66,44.39,56.97,30.72,1.73,0.07,0.02,-0.03,NSE : JBMA
Maruti Suzuki,10331.25,32.17,312086.4,0.87,2525.2,143.7,32338.5,21.98,14.5,Automobile,5.05,8.47,0.02,11.52,56.48,3.96,0.0,25.31,313292.1,30.21,2045.53,22.27,0.36,0.0,8,5,1.48,1.29,56.48,64.87,10.25,4.28,,-22.7,14.67,3844.31,-21.5,49.87,10.25,18.13,3.51,21.87,0.76,18.07,-0.5,NSE : MARUTI
Tata Motors,611.2,20.13,223657.26,0.33,3300.65,162.85,102236.08,42.12,6.14,Automobile,4.48,0.85,2.96,5.62,46.39,6.91,1.82,32.76,320755.14,332.15,136.46,6.03,0.59,0.0,8,5,1.04,7.32,45.55,5.93,16.6,6.06,,-22.69,6.63,313.38,-45.44,127.73,16.6,65.69,18.38,17.72,2.38,17.38,-0.31,NSE : TATAMOTORS
M & M,1591.95,18.45,197963.57,1.02,3683.87,60.91,33891.63,19.28,13.64,Automobile,3.51,5.51,1.64,18.11,19.36,7.43,0.06,25.31,278936.99,124.35,453.27,5.26,0.85,0.0,4,5,0.64,3.34,19.35,22.19,21.15,4.28,,88.92,10.15,975.2,-13.28,117.59,21.15,83.15,9.71,40.14,0.9,26.89,-0.77,NSE : M&M
Bajaj Auto,4668.45,20.2,132097.23,3.0,1644.14,41.33,10311.91,28.82,26.18,Automobile,4.5,17.04,0.0,20.22,54.98,6.49,0.01,20.2,131530.98,28.3,1037.67,18.79,0.67,0.0,6,7,1.04,1.2,54.98,227.81,17.55,12.48,,-8.93,24.3,2316.4,-18.19,57.59,17.55,21.85,21.72,13.67,1.32,9.56,-1.23,NSE : BAJAJ-AUTO
Eicher Motors,3400.4,28.88,93025.62,1.09,918.34,50.38,3986.37,17.33,27.35,Automobile,6.2,16.49,0.02,21.12,49.17,4.6,0.0,32.02,92456.91,27.36,548.13,6.88,0.68,0.0,6,6,0.82,1.18,49.17,95.43,9.32,8.67,,-11.9,22.15,1205.34,-14.31,80.41,9.32,56.78,10.43,30.28,1.65,10.03,-1.16,NSE : EICHERMOT
TVS Motor Co.,1454.1,47.82,69084.29,0.34,441.47,46.02,9055.51,23.78,13.48,Automobile,12.55,4.1,4.06,25.64,50.27,4.06,0.0,32.02,89580.76,47.51,115.87,11.77,0.77,0.0,5,5,1.03,5.63,50.27,13.62,14.07,8.67,,96.64,10.39,282.82,-41.54,89.25,14.07,33.65,8.19,18.13,1.11,23.41,-0.98,NSE : TVSMOTOR
Hero Motocorp,2927.4,19.35,58509.08,3.42,700.54,39.12,8851.01,4.78,22.9,Automobile,3.51,11.72,0.03,16.73,34.77,7.38,0.0,32.02,58653.82,19.99,833.45,14.9,0.67,0.0,7,6,1.47,1.39,34.77,44.8,29.06,8.67,,-3.68,18.1,1658.09,-16.73,72.56,29.06,26.77,9.85,28.1,1.09,27.28,-0.58,NSE : HEROMOTOCO
Ashok Leyland,184.2,31.18,54083.46,1.41,584.49,8226.94,9691.32,14.42,12.0,Automobile,6.32,2.66,3.64,15.05,51.45,6.09,19.04,32.76,83057.67,293.61,29.13,9.73,0.77,0.0,5,5,0.86,5.74,41.72,14.34,36.14,6.06,,65.24,9.24,63.03,-16.31,96.03,36.14,43.57,11.02,16.59,1.74,20.79,-1.36,NSE : ASHOKLEY
Escorts Kubota,3133.9,50.34,41348.87,0.22,289.89,106.2,2355.17,15.9,11.31,Automobile,5.05,7.04,0.01,8.56,67.64,2.68,0.0,38.82,40934.27,13.19,620.48,5.98,1.1,0.0,6,4,0.88,1.17,67.64,20.8,51.08,4.44,,40.41,10.87,911.99,48.51,75.16,51.08,72.59,14.94,5.61,0.95,9.86,1.76,NSE : ESCORTS
Tata Motors-DVR,406.05,,20647.76,0.52,2941.48,,75653.79,,6.6,Automobile,0.37,-0.65,2.19,-3.68,7.67,12.0,0.0,32.76,94856.92,50.85,1086.46,4.3,0.7,,3,3,0.75,6.02,7.67,6.98,44.64,6.06,,-51.4,3.32,,-29.36,157.21,44.64,83.22,41.73,18.64,1.89,30.06,-0.01,NSE : TATAMTRDVR
HDFC Bank,1574.7,18.0,1191486.25,1.21,12403.25,29.14,51168.14,37.28,6.24,Banks,3.04,1.98,7.39,17.11,0.0,4.87,0.0,13.14,3133550.35,756.64,518.73,,3.38,0.0,5,6,0.07,8.04,0.0,6.24,0.0,1.65,,92.15,6.03,1010.21,0.0,,0.0,,16.14,53.93,21.69,29.75,1.66,NSE : HDFCBANK
ICICI Bank,968.7,18.19,678146.2,0.83,11014.45,44.03,37105.89,41.85,6.35,Banks,3.15,1.91,6.53,17.15,0.0,5.53,0.0,13.14,1941583.67,700.06,307.18,,2.2,0.0,5,6,0.07,8.65,0.0,6.35,0.0,1.65,,-56.13,5.49,607.54,0.0,,0.0,,10.22,44.53,0.37,45.0,-0.11,NSE : ICICIBANK
St Bk of India,569.55,7.6,508301.27,1.98,19094.34,153.06,101460.01,32.14,5.21,Banks,1.42,1.02,13.9,16.75,57.47,5.72,0.0,11.46,5179676.82,892.46,402.18,,2.52,0.0,5,8,0.06,15.76,57.47,5.21,0.0,0.83,,118.08,4.98,823.36,0.0,,0.0,,7.3,10.36,0.47,24.83,-0.37,NSE : SBIN
Kotak Mah. Bank,1771.1,21.57,351997.46,0.08,4150.19,50.62,12868.93,40.42,6.86,Banks,3.15,2.56,3.72,14.24,25.94,5.19,0.0,13.14,727378.65,198.75,562.86,,1.96,0.0,4,6,0.07,5.19,25.94,6.86,0.0,1.65,,-107.81,6.09,1020.03,0.0,,0.0,,12.92,41.54,2.12,19.57,-1.74,Not Found
Axis Bank,991.15,13.38,305363.53,0.1,6113.09,39.05,26245.74,36.74,6.16,Banks,2.35,1.43,8.88,14.54,8.19,6.02,0.0,13.14,1348693.89,308.09,421.8,,2.84,0.0,6,6,0.07,9.79,8.19,6.16,0.0,1.65,,22.85,6.04,621.82,0.0,,0.0,,9.91,52.0,2.95,29.91,-2.1,NSE : AXISBANK
IndusInd Bank,1416.55,13.9,109985.89,0.99,2123.62,32.45,10729.65,31.14,7.37,Banks,2.3,1.84,7.15,15.49,15.88,8.14,45.48,13.14,382715.97,77.64,615.72,,6.65,0.0,4,6,0.09,8.43,8.99,7.37,0.0,1.65,,67.2,7.75,1188.61,0.0,,0.0,,14.59,42.34,0.18,26.22,-0.32,NSE : INDUSINDBK
Bank of Baroda,190.6,5.66,98566.16,2.89,4467.63,129.29,28002.54,39.68,5.17,Banks,0.94,1.05,12.78,15.12,63.97,5.93,0.0,11.46,1338784.93,517.14,203.15,,1.92,0.0,6,8,0.07,13.64,63.97,5.17,0.0,0.83,,-121.76,5.2,392.32,0.0,,0.0,,7.7,12.29,1.36,15.77,-0.97,NSE : BANKBARODA
Punjab Natl.Bank,65.4,16.33,72012.04,0.99,1362.97,394.75,25672.85,34.11,4.11,Banks,0.7,0.24,13.22,3.34,73.15,4.92,0.0,11.46,1275179.25,1101.1,93.43,,6.82,0.0,6,6,0.06,13.77,73.15,4.11,0.0,0.83,,67.57,4.2,91.75,0.0,,0.0,,11.57,1.82,0.11,13.44,-0.09,Not Found
IDBI Bank,60.05,15.5,64568.18,1.67,1234.28,59.94,6863.63,47.97,4.26,Banks,1.39,1.18,5.79,8.34,94.71,5.24,0.0,13.14,303176.14,1075.24,43.08,,2.77,0.0,6,7,0.06,6.84,94.71,4.26,0.0,1.65,,14.25,4.79,61.29,0.0,,0.0,,4.84,0.3,0.08,0.16,0.0,NSE : IDBI
Union Bank (I),86.1,6.26,63821.18,3.48,3271.65,106.66,23613.18,29.35,5.02,Banks,0.75,0.69,14.76,11.38,83.49,6.04,0.0,11.46,1114280.83,741.24,115.3,,3.5,0.0,6,8,0.07,15.75,83.49,5.02,0.0,0.83,,16.86,5.22,196.76,0.0,,0.0,,7.17,1.46,-0.2,7.88,-0.39,NSE : UNIONBANK
Schaeffler India,3157.6,54.66,49354.45,0.76,237.28,10.56,1829.14,4.59,28.98,Bearings,11.3,16.35,0.01,21.88,74.13,2.53,0.0,32.61,48014.22,15.63,279.38,3.73,1.85,0.0,6,3,1.29,1.24,74.13,23.36,54.87,6.43,,56.13,20.81,602.62,66.17,95.43,54.87,106.73,5.95,4.04,-0.36,15.87,0.3,NSE : SCHAEFFLER
SKF India,5141.05,46.23,25416.3,0.78,154.53,19.62,1149.6,8.99,34.47,Bearings,10.85,18.11,0.01,24.81,52.58,3.13,0.0,32.61,24472.78,4.94,473.62,3.85,2.21,0.0,9,4,1.49,1.24,52.58,25.23,57.54,6.43,,59.42,24.09,1088.64,68.65,86.48,57.54,97.59,11.66,6.42,-0.09,29.37,0.28,NSE : SKFINDIA
Timken India,3197.85,66.3,24053.82,0.05,90.14,-23.64,717.58,2.62,27.99,Bearings,11.81,16.44,0.01,21.13,57.7,2.05,0.0,32.61,23922.66,7.52,270.83,3.02,1.89,0.0,7,3,1.18,1.17,57.7,21.54,74.88,6.43,,106.21,19.15,542.15,124.37,75.74,74.88,125.24,16.64,6.56,2.61,19.11,6.67,NSE : TIMKEN
Menon Bearings,153.9,27.68,862.46,1.46,7.33,-16.42,54.55,-12.02,32.1,Bearings,6.46,18.93,0.11,26.62,70.18,5.04,5.85,32.61,863.94,5.6,23.81,4.87,1.66,0.0,9,3,1.27,1.29,66.08,26.3,82.71,6.43,,71.7,23.93,54.58,120.58,52.38,82.71,90.24,28.82,1.0,-0.64,0.0,0.0,NSE : MENONBE
SKP Bearing,204.35,25.6,339.22,0.49,5.59,,24.12,,45.4,Bearings,8.24,28.39,0.1,44.29,73.49,5.5,0.0,32.61,343.19,1.66,24.81,2.99,2.43,0.0,5,3,1.04,1.13,73.49,37.64,82.19,6.43,,114.31,35.89,66.76,184.76,55.48,82.19,158.06,25.25,0.0,0.0,1.26,1.26,NSE - SM : SKP
Vishal Bearings,236.35,25.45,255.05,0.21,1.13,228.41,28.21,17.25,20.52,Bearings,7.65,8.59,1.34,27.24,70.79,5.99,0.0,32.61,299.27,1.08,30.91,1.61,0.54,0.0,6,6,1.24,2.79,70.79,15.02,46.32,6.43,,155.3,19.22,80.35,240.95,45.58,46.32,240.22,29.21,0.0,0.0,0.0,0.0,BSE: 539398
Bimetal Bearings,630.05,21.47,241.31,1.98,2.88,118.18,58.83,9.13,6.88,Bearings,1.2,3.94,0.05,4.97,74.88,6.45,0.0,32.61,248.25,0.38,526.12,2.72,1.4,6.84,9,5,0.92,1.23,74.88,6.98,77.9,6.43,,115.73,6.26,589.79,137.85,93.69,77.9,153.64,25.11,0.0,0.0,0.0,0.0,BSE: 505681
SNL Bearings,343.85,15.75,124.13,1.89,1.65,-15.82,11.8,4.42,21.7,Bearings,2.3,13.96,0.0,15.98,74.39,9.28,0.0,32.61,115.44,0.36,149.63,1.6,2.48,2.21,6,6,0.82,1.08,74.39,22.36,49.64,6.43,,99.12,17.18,271.03,233.89,98.55,49.64,282.8,25.6,0.0,0.0,0.0,0.0,BSE: 505827
NRB Indl Bearing,26.55,,64.38,0.0,-6.38,-18.81,17.45,10.44,-3.38,Bearings,,-10.6,1.66,-36.27,73.71,-3.54,0.0,32.61,122.38,2.42,-7.48,1.67,0.28,0.0,6,1,0.66,3.45,73.71,-3.82,85.5,6.43,,101.5,-3.65,,112.99,240.54,85.5,268.03,26.28,0.0,0.0,0.01,0.0,NSE - BE : NIBL
Austin Engg Co,169.15,13.02,58.86,0.0,0.65,38.3,26.83,-12.18,9.32,Bearings,1.03,4.33,0.0,7.87,34.17,9.9,0.0,32.61,52.45,0.35,164.62,1.36,1.5,32.03,9,3,1.1,1.75,34.17,7.36,132.67,6.43,,146.97,5.04,219.4,151.25,212.35,132.67,230.93,65.76,0.0,0.0,0.07,0.0,BSE: 522005
