Company Name,Count,Percentage Allocation,Asset Type
TVS Motor Company Ltd.,13,12.870000000000001,Equity
Apollo Hospitals Enterprise Ltd.,10,12.64,Equity
PI Industries Ltd.,12,12.52,Equity
ICICI Lombard General Insurance Company Ltd.,10,12.2,Equity
United Spirits Ltd.,10,12.13,Equity
Mankind Pharma Ltd.,11,11.540000000000001,Equity
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),11,11.02,Equity
Trent Ltd.,9,10.79,Equity
Dr Reddys Laboratories Ltd.,8,10.44,Equity
Tata Consumer Products Ltd.,9,10.02,Equity
Siemens Ltd.,10,9.93,Equity
Asian Paints Ltd.,10,9.69,Equity
Power Grid Corporation Of India Ltd.,8,9.14,Equity
Oil & Natural Gas Corporation Ltd.,6,8.809999999999999,Equity
The Indian Hotels Company Ltd.,8,7.99,Equity
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),8,7.67,Equity
Info Edge (India) Ltd.,6,7.640000000000001,Equity
Life Insurance Corporation of India,7,7.54,Equity
Bajaj Finserv Ltd.,5,7.35,Equity
Havells India Ltd.,6,7.2700000000000005,Equity
Dabur India Ltd.,8,7.18,Equity
Adani Power Ltd.,1,7.06,Equity
Persistent Systems Ltd.,7,7.02,Equity
ICICI Prudential Life Insurance Company Ltd.,8,6.86,Equity
Nifty,5,6.7299999999999995,Equity
HDFC Life Insurance Company Ltd.,6,6.64,Equity
SBI Cards & Payment Services Pvt. Ltd.,6,6.56,Equity
Jindal Steel & Power Ltd.,3,6.430000000000001,Equity
Coforge Ltd.,6,6.0600000000000005,Equity
Hindustan Aeronautics Ltd.,8,6.0600000000000005,Equity
Torrent Pharmaceuticals Ltd.,6,6.0,Equity
Bharat Petroleum Corporation Ltd.,7,5.890000000000001,Equity
REC Ltd.,5,5.88,Equity
Bosch Ltd.,6,5.87,Equity
Divi Laboratories Ltd.,6,5.84,Equity
Lupin Ltd.,5,5.65,Equity
ABB India Ltd.,7,5.630000000000001,Equity
Page Industries Ltd.,5,5.6,Equity
Fsn ECommerce Ventures Ltd.,6,5.14,Equity
One 97 Communications Ltd.,4,5.12,Equity
Mphasis Ltd.,5,5.050000000000001,Equity
Alkem Laboratories Ltd.,5,4.94,Equity
The Phoenix Mills Ltd.,6,4.880000000000001,Equity
IPCA Laboratories Ltd.,1,4.87,Equity
Cummins India Ltd.,6,4.54,Equity
Canara Bank,6,4.54,Equity
Indian Oil Corporation Ltd.,3,4.54,Equity
Sona Blw Precision Forgings Ltd.,5,4.23,Equity
United Breweries Ltd.,5,4.18,Equity
SRF Ltd.,4,4.17,Equity
Tata Power Company Ltd.,2,4.17,Equity
BEML Ltd.,1,4.17,Equity
Honeywell Automation India Ltd.,5,4.1499999999999995,Equity
CreditAccess Grameen Ltd.,2,4.01,Equity
HDFC Asset Management Company Ltd.,3,3.94,Equity
Gland Pharma Ltd.,5,3.81,Equity
Bharat Dynamics Ltd.,4,3.8099999999999996,Equity
Aurobindo Pharma Ltd.,2,3.6999999999999997,Equity
Computer Age Management Services Ltd.,1,3.6,Equity
Adani Ports and Special Economic Zone Ltd.,2,3.56,Equity
Ashok Leyland Ltd.,4,3.54,Equity
Endurance Technologies Ltd.,3,3.51,Equity
Escorts Kubota Ltd.,3,3.5,Equity
Zydus Lifesciences Ltd.,4,3.5,Equity
Bharat Heavy Electricals Ltd.,2,3.4299999999999997,Equity
Tata Communications Ltd.,1,3.41,Equity
Max Healthcare Institute Ltd.,4,3.33,Equity
Treasury Bill (364D),11,3.31,Others
Treasury Bill (91D),8,3.21,Others
Marico Ltd.,3,3.1100000000000003,Equity
Crompton Greaves Consumer Electrcials Ltd.,3,3.0300000000000002,Equity
Shree Cement Ltd.,3,2.88,Equity
Zee Entertainment Enterprises Ltd.,4,2.74,Equity
Coromandel International Ltd. (Coromandel Fertilisers Ltd.),2,2.7199999999999998,Equity
Cognizant Technology Solutions Corp,2,2.71,Equity
PCBL Ltd. (Erstwhile Phillips Carbon Black Ltd.),1,2.52,Equity
Pidilite Industries Ltd.,2,2.51,Equity
Motherson Sumi Wiring India Ltd.,3,2.46,Equity
Bharat Forge Ltd.,3,2.45,Equity
Net Receivables/(Payable),19,2.41,Others
Emami Ltd.,2,2.41,Equity
CG Power & Industrial Solutions Ltd.,2,2.3899999999999997,Equity
Container Corporation Of India Ltd.,3,2.3499999999999996,Equity
Kajaria Ceramics Ltd.,2,2.2800000000000002,Equity
Chalet Hotels Ltd.,1,2.26,Equity
Abbott India Ltd.,3,2.16,Equity
Colgate-Palmolive Ltd.,2,2.16,Equity
Tube Investments Of India Ltd.,3,2.14,Equity
Procter & Gamble Hygiene & Healthcare Ltd.,2,1.9300000000000002,Equity
JSW Steel Ltd.,1,1.9,Equity
Hitachi Energy India Ltd.,1,1.87,Equity
National Fertilizers Ltd.,1,1.84,Equity
Cyient Ltd.,1,1.82,Equity
Td Power Systems Ltd.,1,1.8,Equity
Jubilant Foodworks Ltd.,3,1.79,Equity
Cash,5,1.79,Others
SKF India Ltd.,2,1.78,Equity
Max Financial Services Ltd.,3,1.7799999999999998,Equity
3M India Ltd.,3,1.73,Equity
Suven Pharmaceuticals Ltd.,1,1.68,Equity
Alembic Pharmaceuticals Ltd.,1,1.66,Equity
Inox Wind Ltd.,1,1.65,Equity
Polycab India Ltd.,2,1.6099999999999999,Equity
Dalmia Bharat Ltd.,2,1.6099999999999999,Equity
Dixon Technologies (India) Ltd.,1,1.6,Equity
Schaeffler India Ltd.,2,1.58,Equity
Union Bank Of India,2,1.5699999999999998,Equity
Au Small Finance Bank Ltd.,1,1.56,Equity
PNB Housing Finance Ltd.,1,1.56,Equity
NHPC Ltd.,2,1.49,Equity
EIH Ltd.,1,1.49,Equity
Home First Finance Company India Ltd.,1,1.49,Equity
Jubilant Ingrevia Ltd.,1,1.47,Equity
Natco Pharma Ltd.,1,1.45,Equity
Kaynes Technology India Pvt. Ltd.,1,1.44,Equity
RBL Bank Ltd.,1,1.4,Equity
Balkrishna Industries Ltd.,3,1.38,Equity
Solar Industries India Ltd.,2,1.37,Equity
Central Depository Services (India) Ltd.,1,1.37,Equity
Muthoot Finance Ltd.,4,1.35,Equity
Punjab National Bank,1,1.35,Equity
Oberoi Realty Ltd.,2,1.35,Equity
PB Fintech Ltd.,1,1.35,Equity
City Union Bank Ltd.,1,1.31,Equity
Ratnamani Metals & Tubes Ltd.,1,1.3,Equity
Exide Industries Ltd.,1,1.3,Equity
PVR INOX Ltd.,2,1.27,Equity
Delhivery Ltd.,1,1.17,Equity
Oil India Ltd.,1,1.17,Equity
Apollo Tyres Ltd.,1,1.15,Equity
Syngene International Ltd.,3,1.1400000000000001,Equity
The Ramco Cements Ltd.,1,1.12,Equity
BSE Ltd.,1,1.11,Equity
Blue Dart Express Ltd.,1,1.11,Equity
Landmark Cars Ltd.,1,1.11,Equity
LIC Housing Finance Ltd.,2,1.1,Equity
Karur Vysya Bank Ltd.,1,1.09,Equity
Repo,1,1.09,Others
Thermax Ltd.,1,1.08,Equity
Bandhan Bank Ltd.,1,1.08,Equity
The Jammu & Kashmir Bank Ltd.,1,1.07,Equity
Teamlease Services Ltd.,1,1.07,Equity
The Federal Bank Ltd.,2,1.05,Equity
GE T&D India Ltd.,1,1.02,Equity
Birlasoft Ltd.,1,1.02,Equity
CESC Ltd.,1,1.01,Equity
Treasury Bill (182D),6,1.01,Others
Multi Commodity Exchange of India Ltd.,1,1.0,Equity
Birla Corporation Ltd.,2,0.99,Equity
Ganesha Ecosphere Ltd.,1,0.99,Equity
NBCC (India) Ltd.,1,0.98,Equity
Safari Industries (India) Ltd.,1,0.98,Equity
CIE Automotive India Ltd.,1,0.98,Equity
Groww Mutual Fund,1,0.96,Debt
Deepak Nitrite Ltd.,1,0.95,Equity
Ircon International Ltd.,1,0.94,Equity
Metropolis Healthcare Ltd.,1,0.9,Equity
V-Guard Industries Ltd.,1,0.9,Equity
Global Health Ltd.,1,0.9,Equity
Sanofi India Ltd.,1,0.89,Equity
Brookfield REIT,1,0.89,Others
Navin Fluorine International Ltd.,2,0.8800000000000001,Equity
Timken India Ltd.,2,0.8600000000000001,Equity
Indian Energy Exchange Ltd.,1,0.86,Equity
Gujarat State Petronet Ltd.,1,0.86,Equity
JK Lakshmi Cement Ltd.,1,0.86,Equity
Bandhan Mutual Fund,1,0.85,Debt
Gokaldas Exports Ltd.,1,0.84,Equity
Freshworks Inc.,1,0.83,Equity
ACC Ltd.,1,0.82,Equity
Biocon Ltd.,1,0.8,Equity
Indraprastha Gas Ltd.,1,0.79,Equity
Astral Ltd. (Erstwhile Astral Poly Technik Ltd.),2,0.78,Equity
Godrej Properties Ltd.,1,0.78,Equity
UNO Minda Ltd.,1,0.77,Equity
CSB Bank Ltd. (Formerly The Catholic Syrian Bank Ltd.),1,0.74,Equity
Akzo Nobel India Ltd.,1,0.74,Equity
Aditya Birla Capital Ltd.,2,0.74,Equity
Zydus Wellness Ltd.,1,0.73,Equity
Bayer Cropscience Ltd.,1,0.73,Equity
Wipro Ltd.,2,0.72,Equity
Five-Star Business Finance Ltd.,1,0.72,Equity
Bank Nifty,1,0.71,Equity
Sansera Engineering Ltd.,1,0.71,Equity
Indian Renewable Energy Development Agency (Ireda),1,0.7,Equity
Balrampur Chini Mills Ltd.,1,0.69,Equity
Linde India Ltd.,1,0.69,Equity
UPL Ltd. (Erstwhile United Phosphorus Ltd.),1,0.68,Equity
KSB Ltd.,1,0.68,Equity
Axis Mutual Fund (Axis NIFTY 50 ETF),1,0.66,Equity
EPL Ltd. (Erstwhile Essel Propack Ltd.),1,0.62,Equity
Metro Brands Ltd.,1,0.61,Equity
Gandhar Oil Refinery (India) Ltd.,1,0.61,Equity
Hindustan Petroleum Corporation Ltd.,2,0.6000000000000001,Equity
Mahindra & Mahindra Financial Services Ltd.,1,0.6,Equity
IIFL Finance Ltd. (Erstwhile India Infoline Finance Limited),1,0.59,Equity
Nuvoco Vistas Corporation Ltd.,1,0.56,Equity
Voltas Ltd.,1,0.56,Equity
KPIT Technologies Ltd.,1,0.55,Equity
L&T Technology Services Ltd.,1,0.54,Equity
Sonata Software Ltd.,1,0.54,Equity
Chemplast Sanmar Ltd.,1,0.52,Equity
Indian Bank,1,0.51,Equity
NMDC Ltd.,1,0.51,Equity
Mahindra Lifespace Developers Ltd.,1,0.5,Equity
Vedanta Ltd.,1,0.49,Equity
Intellect Design Arena Ltd.,1,0.47,Equity
Eureka Forbes Ltd.,1,0.46,Equity
Nucleus Software Exports Ltd.,1,0.46,Equity
NIIT Learning Systems Ltd.,1,0.46,Equity
Piramal Enterprises Ltd.,1,0.45,Equity
Berger Paints India Ltd.,2,0.44,Equity
Cash Margin,5,0.44,Debt
Vinati Organics Ltd.,1,0.43,Equity
AIA Engineering Ltd.,1,0.43,Equity
IDFC First Bank Ltd. (Erstwhile IDFC Bank Ltd.),2,0.42,Equity
Grindwell Norton Ltd.,1,0.38,Equity
Aditya Birla Fashion & Retail Ltd.,1,0.37,Equity
Jupiter Life Line Hospitals Ltd.,1,0.36,Equity
Krishna Institute of Medical Sciences Ltd.,1,0.32,Equity
6.69 GOI Jun 27 2024,1,0.32,Debt
Neuland Laboratories Ltd.,1,0.31,Equity
Honasa Consumer Ltd.,1,0.3,Equity
Wells Fargo ORD SHS,1,0.3,Equity
Whirlpool of India Ltd.,1,0.3,Equity
Kotak Mahindra Mutual Fund (Kotak Liquid Fund - Direct - Growth),1,0.28,Debt
Senco Gold Ltd.,1,0.26,Equity
7.38 GOI Jun 20 2027,1,0.25,Debt
JSW Infrastructure Ltd. (Erstwhile Sarvoday Advisory Services Pvt. Ltd.),1,0.21,Equity
J M Financial Ltd.,1,0.2,Equity
Hindware Home Innovation Ltd.,1,0.2,Equity
Vedant Fashions Pvt. Ltd.,1,0.17,Equity
Blue Star Ltd.,1,0.16,Equity
Tata Technologies Ltd.,2,0.15000000000000002,Equity
RHI Magnesita India Ltd.,1,0.14,Equity
Aditya Birla Sun Life Mutual Fund (ADITYA BIRLA SUN LIFE NIFTY NEXT 50 ETF),1,0.14,Equity
National Aluminium Company Ltd.,1,0.13,Equity
7.06 GOI Apr 10 2028,1,0.12,Debt
NLC India Ltd.,1,0.11,Equity
Aeroflex Industries Ltd.,1,0.11,Equity
Yatra Online Ltd.,1,0.11,Equity
Gujarat Pipavav Port Ltd.,1,0.1,Equity
Gillette India Ltd.,1,0.09,Equity
Glaxo Smithkline Pharmaceuticals Ltd.,1,0.05,Equity
Mirae Asset Mutual Fund (Mirae Asset Nifty 50 ETF),1,0.02,Equity
Flair Writing Industries Ltd.,1,0.01,Equity
Other Margin,2,0.01,Debt
Accrued Interest,1,0.0,Others
Mirae Asset Mutual Fund (Mirae Asset Cash Management Fund - Direct - Growth),1,0.0,Debt
5.5 Britannia Industries Ltd. Jun  3 2024,4,0.0,Debt
Current Assets,8,-12.57,Others
Derivative,7,-13.489999999999998,Others
