Sector Name,Dummy,Percentage Allocation,Scheme Name,Fund Type
Construction Materials,,5.84%,Groww Aggressive Hybrid Fund,Aggressive Hybrid Fund
Financial Services,,42.34%,HDFC Hybrid Equity Fund,Aggressive Hybrid Fund
Sovereign,,8.06%,HDFC Hybrid Equity Fund,Aggressive Hybrid Fund
Fast Moving Consumer Goods,,6.73%,HDFC Hybrid Equity Fund,Aggressive Hybrid Fund
Construction,,6.43%,HDFC Hybrid Equity Fund,Aggressive Hybrid Fund
"Oil, Gas & Consumable Fuels",,6.15%,HDFC Hybrid Equity Fund,Aggressive Hybrid Fund
Financial Services,,30.11%,HSBC Aggressive Hybrid Fund,Aggressive Hybrid Fund
Capital Goods,,17.43%,HSBC Aggressive Hybrid Fund,Aggressive Hybrid Fund
Sovereign,,11.43%,HSBC Aggressive Hybrid Fund,Aggressive Hybrid Fund
Information Technology,,9.06%,HSBC Aggressive Hybrid Fund,Aggressive Hybrid Fund
Automobile and Auto Components,,6.50%,HSBC Aggressive Hybrid Fund,Aggressive Hybrid Fund
Financial Services,,22.74%,ICICI Prudential Equity & Debt Fund,Aggressive Hybrid Fund
Sovereign,,11.10%,ICICI Prudential Equity & Debt Fund,Aggressive Hybrid Fund
Automobile and Auto Components,,9.81%,ICICI Prudential Equity & Debt Fund,Aggressive Hybrid Fund
"Oil, Gas & Consumable Fuels",,9.48%,ICICI Prudential Equity & Debt Fund,Aggressive Hybrid Fund
Power,,8.26%,ICICI Prudential Equity & Debt Fund,Aggressive Hybrid Fund
Financial Services,,25.25%,Invesco India Aggressive Hybrid Fund,Aggressive Hybrid Fund
Sovereign,,22.29%,Invesco India Aggressive Hybrid Fund,Aggressive Hybrid Fund
Capital Goods,,8.08%,Invesco India Aggressive Hybrid Fund,Aggressive Hybrid Fund
Automobile and Auto Components,,6.06%,Invesco India Aggressive Hybrid Fund,Aggressive Hybrid Fund
Information Technology,,6.03%,Invesco India Aggressive Hybrid Fund,Aggressive Hybrid Fund
Financial Services,,25.25%,Aggressive Hybrid Fund
Sovereign,,22.29%,Aggressive Hybrid Fund
Capital Goods,,8.08%,Aggressive Hybrid Fund
Automobile and Auto Components,,6.06%,Aggressive Hybrid Fund
Information Technology,,6.03%,Aggressive Hybrid Fund
Financial Services,,20.68%,JM Aggressive Hybrid Fund,Aggressive Hybrid Fund
Sovereign,,12.93%,JM Aggressive Hybrid Fund,Aggressive Hybrid Fund
Capital Goods,,9.27%,JM Aggressive Hybrid Fund,Aggressive Hybrid Fund
Automobile and Auto Components,,8.78%,JM Aggressive Hybrid Fund,Aggressive Hybrid Fund
Realty,,5.02%,JM Aggressive Hybrid Fund,Aggressive Hybrid Fund
Sovereign,,23.08%,Kotak Equity Hybrid Fund,Aggressive Hybrid Fund
Financial Services,,20.33%,Kotak Equity Hybrid Fund,Aggressive Hybrid Fund
Capital Goods,,8.47%,Kotak Equity Hybrid Fund,Aggressive Hybrid Fund
Information Technology,,6.09%,Kotak Equity Hybrid Fund,Aggressive Hybrid Fund
Automobile and Auto Components,,5.57%,Kotak Equity Hybrid Fund,Aggressive Hybrid Fund
Financial Services,,30.02%,LIC MF Aggressive Hybrid Fund,Aggressive Hybrid Fund
Sovereign,,15.52%,LIC MF Aggressive Hybrid Fund,Aggressive Hybrid Fund
Information Technology,,7.96%,LIC MF Aggressive Hybrid Fund,Aggressive Hybrid Fund
Automobile and Auto Components,,6.63%,LIC MF Aggressive Hybrid Fund,Aggressive Hybrid Fund
Capital Goods,,5.86%,LIC MF Aggressive Hybrid Fund,Aggressive Hybrid Fund
Financial Services,,28.46%,Mahindra Manulife Aggressive Hybrid Fund,Aggressive Hybrid Fund
Sovereign,,11.45%,Mahindra Manulife Aggressive Hybrid Fund,Aggressive Hybrid Fund
Information Technology,,8.35%,Mahindra Manulife Aggressive Hybrid Fund,Aggressive Hybrid Fund
Capital Goods,,6.64%,Mahindra Manulife Aggressive Hybrid Fund,Aggressive Hybrid Fund
Fast Moving Consumer Goods,,6.04%,Mahindra Manulife Aggressive Hybrid Fund,Aggressive Hybrid Fund
Financial Services,,38.29%,Mirae Asset Aggressive Hybrid Fund,Aggressive Hybrid Fund
Sovereign,,8.30%,Mirae Asset Aggressive Hybrid Fund,Aggressive Hybrid Fund
Information Technology,,6.41%,Mirae Asset Aggressive Hybrid Fund,Aggressive Hybrid Fund
Automobile and Auto Components,,5.92%,Mirae Asset Aggressive Hybrid Fund,Aggressive Hybrid Fund
"Oil, Gas & Consumable Fuels",,5.79%,Mirae Asset Aggressive Hybrid Fund,Aggressive Hybrid Fund
Financial Services,,48.28%,Motilal Oswal Equity Hybrid Fund,Aggressive Hybrid Fund
Automobile and Auto Components,,11.81%,Motilal Oswal Equity Hybrid Fund,Aggressive Hybrid Fund
Consumer Services,,10.47%,Motilal Oswal Equity Hybrid Fund,Aggressive Hybrid Fund
Information Technology,,7.16%,Motilal Oswal Equity Hybrid Fund,Aggressive Hybrid Fund
Capital Goods,,5.83%,Motilal Oswal Equity Hybrid Fund,Aggressive Hybrid Fund
Financial Services,,29.19%,Navi Aggressive Hybrid Fund,Aggressive Hybrid Fund
Capital Goods,,14.36%,Navi Aggressive Hybrid Fund,Aggressive Hybrid Fund
Information Technology,,10.69%,Navi Aggressive Hybrid Fund,Aggressive Hybrid Fund
Sovereign,,8.36%,Navi Aggressive Hybrid Fund,Aggressive Hybrid Fund
Automobile and Auto Components,,6.91%,Navi Aggressive Hybrid Fund,Aggressive Hybrid Fund
Financial Services,,34.92%,Nippon India Equity Hybrid Fund,Aggressive Hybrid Fund
Healthcare,,6.93%,Nippon India Equity Hybrid Fund,Aggressive Hybrid Fund
Information Technology,,6.58%,Nippon India Equity Hybrid Fund,Aggressive Hybrid Fund
Automobile and Auto Components,,5.89%,Nippon India Equity Hybrid Fund,Aggressive Hybrid Fund
"Oil, Gas & Consumable Fuels",,5.37%,Nippon India Equity Hybrid Fund,Aggressive Hybrid Fund
Financial Services,,22.48%,PGIM India Hybrid Equity Fund,Aggressive Hybrid Fund
Sovereign,,17.44%,PGIM India Hybrid Equity Fund,Aggressive Hybrid Fund
Mutual Funds,,10.11%,PGIM India Hybrid Equity Fund,Aggressive Hybrid Fund
"Oil, Gas & Consumable Fuels",,5.29%,PGIM India Hybrid Equity Fund,Aggressive Hybrid Fund
Information Technology,,4.87%,PGIM India Hybrid Equity Fund,Aggressive Hybrid Fund
"Oil, Gas & Consumable Fuels",,16.51%,Quant Absolute Fund,Aggressive Hybrid Fund
Financial Services,,16.09%,Quant Absolute Fund,Aggressive Hybrid Fund
Sovereign,,15.85%,Quant Absolute Fund,Aggressive Hybrid Fund
Metals & Mining,,10.64%,Quant Absolute Fund,Aggressive Hybrid Fund
Healthcare,,9.93%,Quant Absolute Fund,Aggressive Hybrid Fund
Financial Services,,32.24%,SBI Equity Hybrid Fund,Aggressive Hybrid Fund
Sovereign,,11.14%,SBI Equity Hybrid Fund,Aggressive Hybrid Fund
Healthcare,,6.33%,SBI Equity Hybrid Fund,Aggressive Hybrid Fund
Telecommunication,,5.85%,SBI Equity Hybrid Fund,Aggressive Hybrid Fund
Services,,5.42%,SBI Equity Hybrid Fund,Aggressive Hybrid Fund
Financial Services,,36.30%,Shriram Aggressive Hybrid Fund,Aggressive Hybrid Fund
"Oil, Gas & Consumable Fuels",,8.73%,Shriram Aggressive Hybrid Fund,Aggressive Hybrid Fund
Information Technology,,8.19%,Shriram Aggressive Hybrid Fund,Aggressive Hybrid Fund
Current Assets,,7.48%,Shriram Aggressive Hybrid Fund,Aggressive Hybrid Fund
Sovereign,,6.70%,Shriram Aggressive Hybrid Fund,Aggressive Hybrid Fund
Financial Services,,36.09%,Sundaram Aggressive Hybrid Fund,Aggressive Hybrid Fund
Sovereign,,9.51%,Sundaram Aggressive Hybrid Fund,Aggressive Hybrid Fund
Automobile and Auto Components,,7.41%,Sundaram Aggressive Hybrid Fund,Aggressive Hybrid Fund
Information Technology,,6.12%,Sundaram Aggressive Hybrid Fund,Aggressive Hybrid Fund
Fast Moving Consumer Goods,,6.09%,Sundaram Aggressive Hybrid Fund,Aggressive Hybrid Fund
Financial Services,,34.09%,Tata Hybrid Equity Fund,Aggressive Hybrid Fund
Fast Moving Consumer Goods,,9.38%,Tata Hybrid Equity Fund,Aggressive Hybrid Fund
Information Technology,,8.12%,Tata Hybrid Equity Fund,Aggressive Hybrid Fund
Sovereign,,7.89%,Tata Hybrid Equity Fund,Aggressive Hybrid Fund
"Oil, Gas & Consumable Fuels",,7.25%,Tata Hybrid Equity Fund,Aggressive Hybrid Fund
Financial Services,,42.83%,Union Aggressive Hybrid Fund,Aggressive Hybrid Fund
Information Technology,,9.27%,Union Aggressive Hybrid Fund,Aggressive Hybrid Fund
Automobile and Auto Components,,7.11%,Union Aggressive Hybrid Fund,Aggressive Hybrid Fund
Current Assets,,6.96%,Union Aggressive Hybrid Fund,Aggressive Hybrid Fund
Capital Goods,,5.02%,Union Aggressive Hybrid Fund,Aggressive Hybrid Fund
Financial Services,,33.58%,UTI Aggressive Hybrid Fund,Aggressive Hybrid Fund
Sovereign,,14.44%,UTI Aggressive Hybrid Fund,Aggressive Hybrid Fund
Automobile and Auto Components,,8.14%,UTI Aggressive Hybrid Fund,Aggressive Hybrid Fund
Information Technology,,7.34%,UTI Aggressive Hybrid Fund,Aggressive Hybrid Fund
"Oil, Gas & Consumable Fuels",,7.07%,UTI Aggressive Hybrid Fund,Aggressive Hybrid Fund
Miscellaneous,,74.28%,Aditya Birla Sun Life Arbitrage Fund,Arbitrage Fund
Mutual Funds,,16.50%,Aditya Birla Sun Life Arbitrage Fund,Arbitrage Fund
Current Assets,,6.62%,Aditya Birla Sun Life Arbitrage Fund,Arbitrage Fund
Financial Services,,3.03%,Aditya Birla Sun Life Arbitrage Fund,Arbitrage Fund
Textiles,,-,Aditya Birla Sun Life Arbitrage Fund,Arbitrage Fund
Current Assets,,75.38%,Axis Arbitrage Fund,Arbitrage Fund
Mutual Funds,,11.35%,Axis Arbitrage Fund,Arbitrage Fund
Financial Services,,6.80%,Axis Arbitrage Fund,Arbitrage Fund
Sovereign,,6.22%,Axis Arbitrage Fund,Arbitrage Fund
Consumer Services,,0.67%,Axis Arbitrage Fund,Arbitrage Fund
Current Assets,,76.08%,Bajaj Finserv Arbitrage Fund,Arbitrage Fund
Mutual Funds,,17.37%,Bajaj Finserv Arbitrage Fund,Arbitrage Fund
Sovereign,,7.10%,Bajaj Finserv Arbitrage Fund,Arbitrage Fund
Capital Goods,,-,Bajaj Finserv Arbitrage Fund,Arbitrage Fund
Fast Moving Consumer Goods,,-0.01%,Bajaj Finserv Arbitrage Fund,Arbitrage Fund
Miscellaneous,,73.38%,Bandhan Arbitrage Fund,Arbitrage Fund
Mutual Funds,,14.27%,Bandhan Arbitrage Fund,Arbitrage Fund
Financial Services,,10.09%,Bandhan Arbitrage Fund,Arbitrage Fund
Sovereign,,1.66%,Bandhan Arbitrage Fund,Arbitrage Fund
Current Assets,,0.56%,Bandhan Arbitrage Fund,Arbitrage Fund
Current Assets,,77.42%,Bank of India Arbitrage Fund,Arbitrage Fund
Sovereign,,12.92%,Bank of India Arbitrage Fund,Arbitrage Fund
Mutual Funds,,10.26%,Bank of India Arbitrage Fund,Arbitrage Fund
Services,,-,Bank of India Arbitrage Fund,Arbitrage Fund
Power,,-0.01%,Bank of India Arbitrage Fund,Arbitrage Fund
Miscellaneous,,69.88%,Baroda BNP Paribas Arbitrage Fund,Arbitrage Fund
Sovereign,,19.08%,Baroda BNP Paribas Arbitrage Fund,Arbitrage Fund
Current Assets,,7.40%,Baroda BNP Paribas Arbitrage Fund,Arbitrage Fund
Financial Services,,2.29%,Baroda BNP Paribas Arbitrage Fund,Arbitrage Fund
Mutual Funds,,1.78%,Baroda BNP Paribas Arbitrage Fund,Arbitrage Fund
Miscellaneous,,70.43%,DSP Arbitrage Fund,Arbitrage Fund
Financial Services,,12.35%,DSP Arbitrage Fund,Arbitrage Fund
Mutual Funds,,11.90%,DSP Arbitrage Fund,Arbitrage Fund
Current Assets,,5.46%,DSP Arbitrage Fund,Arbitrage Fund
Sovereign,,0.28%,DSP Arbitrage Fund,Arbitrage Fund
Miscellaneous,,70.98%,Edelweiss Arbitrage Fund,Arbitrage Fund
Sovereign,,11.79%,Edelweiss Arbitrage Fund,Arbitrage Fund
Financial Services,,10.53%,Edelweiss Arbitrage Fund,Arbitrage Fund
Current Assets,,7.14%,Edelweiss Arbitrage Fund,Arbitrage Fund
Construction,,-,Edelweiss Arbitrage Fund,Arbitrage Fund
Miscellaneous,,73.65%,HSBC Arbitrage Fund,Arbitrage Fund
Sovereign,,13.57%,HSBC Arbitrage Fund,Arbitrage Fund
Mutual Funds,,7.33%,HSBC Arbitrage Fund,Arbitrage Fund
Current Assets,,3.39%,HSBC Arbitrage Fund,Arbitrage Fund
Financial Services,,2.48%,HSBC Arbitrage Fund,Arbitrage Fund
Miscellaneous,,77.36%,ICICI Prudential Equity - Arbitrage Fund,Arbitrage Fund
Financial Services,,9.29%,ICICI Prudential Equity - Arbitrage Fund,Arbitrage Fund
Sovereign,,9.20%,ICICI Prudential Equity - Arbitrage Fund,Arbitrage Fund
Mutual Funds,,5.05%,ICICI Prudential Equity - Arbitrage Fund,Arbitrage Fund
Textiles,,-,ICICI Prudential Equity - Arbitrage Fund,Arbitrage Fund
Current Assets,,78.92%,Invesco India Arbitrage Fund,Arbitrage Fund
Mutual Funds,,15.52%,Invesco India Arbitrage Fund,Arbitrage Fund
Financial Services,,5.69%,Invesco India Arbitrage Fund,Arbitrage Fund
Sovereign,,0.25%,Invesco India Arbitrage Fund,Arbitrage Fund
Textiles,,-,Invesco India Arbitrage Fund,Arbitrage Fund
Current Assets,,48.63%,ITI Arbitrage Fund,Arbitrage Fund
Miscellaneous,,33.69%,ITI Arbitrage Fund,Arbitrage Fund
Financial Services,,10.62%,ITI Arbitrage Fund,Arbitrage Fund
Mutual Funds,,7.26%,ITI Arbitrage Fund,Arbitrage Fund
Fast Moving Consumer Goods,,-,ITI Arbitrage Fund,Arbitrage Fund
Miscellaneous,,70.17%,JM Arbitrage Fund,Arbitrage Fund
Mutual Funds,,12.01%,JM Arbitrage Fund,Arbitrage Fund
Sovereign,,10.31%,JM Arbitrage Fund,Arbitrage Fund
Financial Services,,5.00%,JM Arbitrage Fund,Arbitrage Fund
Current Assets,,2.94%,JM Arbitrage Fund,Arbitrage Fund
Miscellaneous,,68.10%,LIC MF Arbitrage Fund,Arbitrage Fund
Mutual Funds,,22.61%,LIC MF Arbitrage Fund,Arbitrage Fund
Current Assets,,9.84%,LIC MF Arbitrage Fund,Arbitrage Fund
Telecommunication,,-,LIC MF Arbitrage Fund,Arbitrage Fund
Construction Materials,,-0.01%,LIC MF Arbitrage Fund,Arbitrage Fund
Current Assets,,73.89%,Mahindra Manulife Arbitrage Fund,Arbitrage Fund
Mutual Funds,,13.61%,Mahindra Manulife Arbitrage Fund,Arbitrage Fund
Sovereign,,13.01%,Mahindra Manulife Arbitrage Fund,Arbitrage Fund
Information Technology,,-0.01%,Mahindra Manulife Arbitrage Fund,Arbitrage Fund
Healthcare,,-0.01%,Mahindra Manulife Arbitrage Fund,Arbitrage Fund
Financial Services,,27.12%,Mirae Asset Arbitrage Fund,Arbitrage Fund
Sovereign,,11.27%,Mirae Asset Arbitrage Fund,Arbitrage Fund
Metals & Mining,,7.52%,Mirae Asset Arbitrage Fund,Arbitrage Fund
Capital Goods,,5.53%,Mirae Asset Arbitrage Fund,Arbitrage Fund
Current Assets,,5.36%,Mirae Asset Arbitrage Fund,Arbitrage Fund
Miscellaneous,,74.70%,Nippon India Arbitrage Fund,Arbitrage Fund
Mutual Funds,,15.62%,Nippon India Arbitrage Fund,Arbitrage Fund
Financial Services,,7.76%,Nippon India Arbitrage Fund,Arbitrage Fund
Current Assets,,2.33%,Nippon India Arbitrage Fund,Arbitrage Fund
Sovereign,,0.04%,Nippon India Arbitrage Fund,Arbitrage Fund
Miscellaneous,,84.88%,NJ Arbitrage Fund,Arbitrage Fund
Sovereign,,11.23%,NJ Arbitrage Fund,Arbitrage Fund
Current Assets,,4.54%,NJ Arbitrage Fund,Arbitrage Fund
Chemicals,,-,NJ Arbitrage Fund,Arbitrage Fund
Telecommunication,,-,NJ Arbitrage Fund,Arbitrage Fund
Miscellaneous,,72.13%,Parag Parikh Arbitrage Fund,Arbitrage Fund
Mutual Funds,,11.36%,Parag Parikh Arbitrage Fund,Arbitrage Fund
Current Assets,,8.19%,Parag Parikh Arbitrage Fund,Arbitrage Fund
Financial Services,,6.67%,Parag Parikh Arbitrage Fund,Arbitrage Fund
Sovereign,,2.09%,Parag Parikh Arbitrage Fund,Arbitrage Fund
Current Assets,,80.47%,PGIM India Arbitrage Fund,Arbitrage Fund
Mutual Funds,,11.53%,PGIM India Arbitrage Fund,Arbitrage Fund
Sovereign,,8.54%,PGIM India Arbitrage Fund,Arbitrage Fund
Realty,,-,PGIM India Arbitrage Fund,Arbitrage Fund
Information Technology,,-,PGIM India Arbitrage Fund,Arbitrage Fund
Miscellaneous,,75.35%,SBI Arbitrage Opportunities Fund,Arbitrage Fund
Mutual Funds,,10.55%,SBI Arbitrage Opportunities Fund,Arbitrage Fund
Financial Services,,8.01%,SBI Arbitrage Opportunities Fund,Arbitrage Fund
Sovereign,,3.54%,SBI Arbitrage Opportunities Fund,Arbitrage Fund
Current Assets,,1.79%,SBI Arbitrage Opportunities Fund,Arbitrage Fund
Miscellaneous,,72.63%,Sundaram Arbitrage Fund,Arbitrage Fund
Sovereign,,22.50%,Sundaram Arbitrage Fund,Arbitrage Fund
Current Assets,,5.43%,Sundaram Arbitrage Fund,Arbitrage Fund
Information Technology,,-,Sundaram Arbitrage Fund,Arbitrage Fund
Capital Goods,,-,Sundaram Arbitrage Fund,Arbitrage Fund
Miscellaneous,,69.73%,Tata Arbitrage Fund,Arbitrage Fund
Mutual Funds,,15.43%,Tata Arbitrage Fund,Arbitrage Fund
Financial Services,,11.65%,Tata Arbitrage Fund,Arbitrage Fund
Current Assets,,3.29%,Tata Arbitrage Fund,Arbitrage Fund
Sovereign,,0.32%,Tata Arbitrage Fund,Arbitrage Fund
Miscellaneous,,80.97%,Union Arbitrage Fund,Arbitrage Fund
Mutual Funds,,11.66%,Union Arbitrage Fund,Arbitrage Fund
Current Assets,,7.83%,Union Arbitrage Fund,Arbitrage Fund
Sovereign,,0.14%,Union Arbitrage Fund,Arbitrage Fund
Consumer Services,,-0.01%,Union Arbitrage Fund,Arbitrage Fund
Miscellaneous,,77.15%,UTI Arbitrage Fund,Arbitrage Fund
Mutual Funds,,11.60%,UTI Arbitrage Fund,Arbitrage Fund
Financial Services,,11.08%,UTI Arbitrage Fund,Arbitrage Fund
Current Assets,,0.64%,UTI Arbitrage Fund,Arbitrage Fund
Textiles,,-,UTI Arbitrage Fund,Arbitrage Fund
Financial Services,,43.41%,360 ONE Balanced Hybrid Fund,Balanced Hybrid Fund
Sovereign,,12.86%,360 ONE Balanced Hybrid Fund,Balanced Hybrid Fund
Power,,6.23%,360 ONE Balanced Hybrid Fund,Balanced Hybrid Fund
Information Technology,,6.03%,360 ONE Balanced Hybrid Fund,Balanced Hybrid Fund
Capital Goods,,5.60%,360 ONE Balanced Hybrid Fund,Balanced Hybrid Fund
Financial Services,,30.87%,WhiteOak Capital Balanced Hybrid Fund,Balanced Hybrid Fund
Sovereign,,24.64%,WhiteOak Capital Balanced Hybrid Fund,Balanced Hybrid Fund
Current Assets,,7.16%,WhiteOak Capital Balanced Hybrid Fund,Balanced Hybrid Fund
Power,,5.69%,WhiteOak Capital Balanced Hybrid Fund,Balanced Hybrid Fund
Information Technology,,5.00%,WhiteOak Capital Balanced Hybrid Fund,Balanced Hybrid Fund
Financial Services,,67.70%,Aditya Birla Sun Life Banking & PSU Debt Fund,Banking and PSU Fund
Sovereign,,22.16%,Aditya Birla Sun Life Banking & PSU Debt Fund,Banking and PSU Fund
Current Assets,,8.18%,Aditya Birla Sun Life Banking & PSU Debt Fund,Banking and PSU Fund
"Oil, Gas & Consumable Fuels",,0.81%,Aditya Birla Sun Life Banking & PSU Debt Fund,Banking and PSU Fund
Power,,0.67%,Aditya Birla Sun Life Banking & PSU Debt Fund,Banking and PSU Fund
Financial Services,,83.43%,Axis Banking & PSU Debt Fund,Banking and PSU Fund
Sovereign,,11.00%,Axis Banking & PSU Debt Fund,Banking and PSU Fund
Current Assets,,3.05%,Axis Banking & PSU Debt Fund,Banking and PSU Fund
Power,,2.28%,Axis Banking & PSU Debt Fund,Banking and PSU Fund
Mutual Funds,,0.23%,Axis Banking & PSU Debt Fund,Banking and PSU Fund
Financial Services,,39.67%,Bajaj Finserv Banking and PSU Debt Fund,Banking and PSU Fund
Current Assets,,21.69%,Bajaj Finserv Banking and PSU Debt Fund,Banking and PSU Fund
Sovereign,,20.48%,Bajaj Finserv Banking and PSU Debt Fund,Banking and PSU Fund
Consumer Services,,6.85%,Bajaj Finserv Banking and PSU Debt Fund,Banking and PSU Fund
Power,,5.77%,Bajaj Finserv Banking and PSU Debt Fund,Banking and PSU Fund
Financial Services,,70.16%,Bandhan Banking & PSU Debt Fund,Banking and PSU Fund
Sovereign,,14.90%,Bandhan Banking & PSU Debt Fund,Banking and PSU Fund
"Oil, Gas & Consumable Fuels",,6.51%,Bandhan Banking & PSU Debt Fund,Banking and PSU Fund
Power,,5.28%,Bandhan Banking & PSU Debt Fund,Banking and PSU Fund
Current Assets,,2.80%,Bandhan Banking & PSU Debt Fund,Banking and PSU Fund
Financial Services,,41.43%,Baroda BNP Paribas Banking and PSU Bond Fund,Banking and PSU Fund
Sovereign,,16.69%,Baroda BNP Paribas Banking and PSU Bond Fund,Banking and PSU Fund
Current Assets,,13.54%,Baroda BNP Paribas Banking and PSU Bond Fund,Banking and PSU Fund
Construction,,8.57%,Baroda BNP Paribas Banking and PSU Bond Fund,Banking and PSU Fund
Power,,7.94%,Baroda BNP Paribas Banking and PSU Bond Fund,Banking and PSU Fund
Financial Services,,58.67%,Canara Robeco Banking and PSU Debt Fund,Banking and PSU Fund
Power,,17.62%,Canara Robeco Banking and PSU Debt Fund,Banking and PSU Fund
Sovereign,,11.16%,Canara Robeco Banking and PSU Debt Fund,Banking and PSU Fund
Current Assets,,8.79%,Canara Robeco Banking and PSU Debt Fund,Banking and PSU Fund
Construction Materials,,3.52%,Canara Robeco Banking and PSU Debt Fund,Banking and PSU Fund
Financial Services,,64.58%,DSP Banking & PSU Debt Fund,Banking and PSU Fund
Sovereign,,22.58%,DSP Banking & PSU Debt Fund,Banking and PSU Fund
Power,,6.90%,DSP Banking & PSU Debt Fund,Banking and PSU Fund
"Oil, Gas & Consumable Fuels",,5.36%,DSP Banking & PSU Debt Fund,Banking and PSU Fund
Current Assets,,0.31%,DSP Banking & PSU Debt Fund,Banking and PSU Fund
Financial Services,,31.81%,Edelweiss Banking & PSU Debt Fund,Banking and PSU Fund
"Oil, Gas & Consumable Fuels",,16.45%,Edelweiss Banking & PSU Debt Fund,Banking and PSU Fund
