Sector Name,Dummy,Percentage Allocation,Fund Type,Scheme Name
Construction Materials,,5.84%,Groww Aggressive Hybrid Fund,Aggressive Hybrid Fund
Financial Services,,42.34%,HDFC Hybrid Equity Fund,Aggressive Hybrid Fund
Sovereign,,8.06%,HDFC Hybrid Equity Fund,Aggressive Hybrid Fund
Fast Moving Consumer Goods,,6.73%,HDFC Hybrid Equity Fund,Aggressive Hybrid Fund
Construction,,6.43%,HDFC Hybrid Equity Fund,Aggressive Hybrid Fund
"Oil, Gas & Consumable Fuels",,6.15%,HDFC Hybrid Equity Fund,Aggressive Hybrid Fund
Financial Services,,30.11%,HSBC Aggressive Hybrid Fund,Aggressive Hybrid Fund
Capital Goods,,17.43%,HSBC Aggressive Hybrid Fund,Aggressive Hybrid Fund
Sovereign,,11.43%,HSBC Aggressive Hybrid Fund,Aggressive Hybrid Fund
Information Technology,,9.06%,HSBC Aggressive Hybrid Fund,Aggressive Hybrid Fund
Automobile and Auto Components,,6.50%,HSBC Aggressive Hybrid Fund,Aggressive Hybrid Fund
Financial Services,,22.74%,ICICI Prudential Equity & Debt Fund,Aggressive Hybrid Fund
Sovereign,,11.10%,ICICI Prudential Equity & Debt Fund,Aggressive Hybrid Fund
Automobile and Auto Components,,9.81%,ICICI Prudential Equity & Debt Fund,Aggressive Hybrid Fund
"Oil, Gas & Consumable Fuels",,9.48%,ICICI Prudential Equity & Debt Fund,Aggressive Hybrid Fund
Power,,8.26%,ICICI Prudential Equity & Debt Fund,Aggressive Hybrid Fund
Financial Services,,25.25%,Invesco India Aggressive Hybrid Fund,Aggressive Hybrid Fund
Sovereign,,22.29%,Invesco India Aggressive Hybrid Fund,Aggressive Hybrid Fund
Capital Goods,,8.08%,Invesco India Aggressive Hybrid Fund,Aggressive Hybrid Fund
Automobile and Auto Components,,6.06%,Invesco India Aggressive Hybrid Fund,Aggressive Hybrid Fund
Information Technology,,6.03%,Invesco India Aggressive Hybrid Fund,Aggressive Hybrid Fund
Financial Services,,25.25%,Aggressive Hybrid Fund
Sovereign,,22.29%,Aggressive Hybrid Fund
Capital Goods,,8.08%,Aggressive Hybrid Fund
Automobile and Auto Components,,6.06%,Aggressive Hybrid Fund
Information Technology,,6.03%,Aggressive Hybrid Fund
Financial Services,,20.68%,JM Aggressive Hybrid Fund,Aggressive Hybrid Fund
Sovereign,,12.93%,JM Aggressive Hybrid Fund,Aggressive Hybrid Fund
Capital Goods,,9.27%,JM Aggressive Hybrid Fund,Aggressive Hybrid Fund
Automobile and Auto Components,,8.78%,JM Aggressive Hybrid Fund,Aggressive Hybrid Fund
Realty,,5.02%,JM Aggressive Hybrid Fund,Aggressive Hybrid Fund
Sovereign,,23.08%,Kotak Equity Hybrid Fund,Aggressive Hybrid Fund
Financial Services,,20.33%,Kotak Equity Hybrid Fund,Aggressive Hybrid Fund
Capital Goods,,8.47%,Kotak Equity Hybrid Fund,Aggressive Hybrid Fund
Information Technology,,6.09%,Kotak Equity Hybrid Fund,Aggressive Hybrid Fund
Automobile and Auto Components,,5.57%,Kotak Equity Hybrid Fund,Aggressive Hybrid Fund
Financial Services,,30.02%,LIC MF Aggressive Hybrid Fund,Aggressive Hybrid Fund
Sovereign,,15.52%,LIC MF Aggressive Hybrid Fund,Aggressive Hybrid Fund
Information Technology,,7.96%,LIC MF Aggressive Hybrid Fund,Aggressive Hybrid Fund
Automobile and Auto Components,,6.63%,LIC MF Aggressive Hybrid Fund,Aggressive Hybrid Fund
Capital Goods,,5.86%,LIC MF Aggressive Hybrid Fund,Aggressive Hybrid Fund
Financial Services,,28.46%,Mahindra Manulife Aggressive Hybrid Fund,Aggressive Hybrid Fund
Sovereign,,11.45%,Mahindra Manulife Aggressive Hybrid Fund,Aggressive Hybrid Fund
Information Technology,,8.35%,Mahindra Manulife Aggressive Hybrid Fund,Aggressive Hybrid Fund
Capital Goods,,6.64%,Mahindra Manulife Aggressive Hybrid Fund,Aggressive Hybrid Fund
Fast Moving Consumer Goods,,6.04%,Mahindra Manulife Aggressive Hybrid Fund,Aggressive Hybrid Fund
Financial Services,,38.29%,Mirae Asset Aggressive Hybrid Fund,Aggressive Hybrid Fund
Sovereign,,8.30%,Mirae Asset Aggressive Hybrid Fund,Aggressive Hybrid Fund
Information Technology,,6.41%,Mirae Asset Aggressive Hybrid Fund,Aggressive Hybrid Fund
Automobile and Auto Components,,5.92%,Mirae Asset Aggressive Hybrid Fund,Aggressive Hybrid Fund
"Oil, Gas & Consumable Fuels",,5.79%,Mirae Asset Aggressive Hybrid Fund,Aggressive Hybrid Fund
Financial Services,,48.28%,Motilal Oswal Equity Hybrid Fund,Aggressive Hybrid Fund
Automobile and Auto Components,,11.81%,Motilal Oswal Equity Hybrid Fund,Aggressive Hybrid Fund
Consumer Services,,10.47%,Motilal Oswal Equity Hybrid Fund,Aggressive Hybrid Fund
Information Technology,,7.16%,Motilal Oswal Equity Hybrid Fund,Aggressive Hybrid Fund
Capital Goods,,5.83%,Motilal Oswal Equity Hybrid Fund,Aggressive Hybrid Fund
Financial Services,,29.19%,Navi Aggressive Hybrid Fund,Aggressive Hybrid Fund
Capital Goods,,14.36%,Navi Aggressive Hybrid Fund,Aggressive Hybrid Fund
Information Technology,,10.69%,Navi Aggressive Hybrid Fund,Aggressive Hybrid Fund
Sovereign,,8.36%,Navi Aggressive Hybrid Fund,Aggressive Hybrid Fund
Automobile and Auto Components,,6.91%,Navi Aggressive Hybrid Fund,Aggressive Hybrid Fund
Financial Services,,34.92%,Nippon India Equity Hybrid Fund,Aggressive Hybrid Fund
Healthcare,,6.93%,Nippon India Equity Hybrid Fund,Aggressive Hybrid Fund
Information Technology,,6.58%,Nippon India Equity Hybrid Fund,Aggressive Hybrid Fund
Automobile and Auto Components,,5.89%,Nippon India Equity Hybrid Fund,Aggressive Hybrid Fund
"Oil, Gas & Consumable Fuels",,5.37%,Nippon India Equity Hybrid Fund,Aggressive Hybrid Fund
Financial Services,,22.48%,PGIM India Hybrid Equity Fund,Aggressive Hybrid Fund
Sovereign,,17.44%,PGIM India Hybrid Equity Fund,Aggressive Hybrid Fund
Mutual Funds,,10.11%,PGIM India Hybrid Equity Fund,Aggressive Hybrid Fund
"Oil, Gas & Consumable Fuels",,5.29%,PGIM India Hybrid Equity Fund,Aggressive Hybrid Fund
Information Technology,,4.87%,PGIM India Hybrid Equity Fund,Aggressive Hybrid Fund
"Oil, Gas & Consumable Fuels",,16.51%,Quant Absolute Fund,Aggressive Hybrid Fund
Financial Services,,16.09%,Quant Absolute Fund,Aggressive Hybrid Fund
Sovereign,,15.85%,Quant Absolute Fund,Aggressive Hybrid Fund
Metals & Mining,,10.64%,Quant Absolute Fund,Aggressive Hybrid Fund
Healthcare,,9.93%,Quant Absolute Fund,Aggressive Hybrid Fund
Financial Services,,32.24%,SBI Equity Hybrid Fund,Aggressive Hybrid Fund
Sovereign,,11.14%,SBI Equity Hybrid Fund,Aggressive Hybrid Fund
Healthcare,,6.33%,SBI Equity Hybrid Fund,Aggressive Hybrid Fund
Telecommunication,,5.85%,SBI Equity Hybrid Fund,Aggressive Hybrid Fund
Services,,5.42%,SBI Equity Hybrid Fund,Aggressive Hybrid Fund
Financial Services,,36.30%,Shriram Aggressive Hybrid Fund,Aggressive Hybrid Fund
"Oil, Gas & Consumable Fuels",,8.73%,Shriram Aggressive Hybrid Fund,Aggressive Hybrid Fund
Information Technology,,8.19%,Shriram Aggressive Hybrid Fund,Aggressive Hybrid Fund
Current Assets,,7.48%,Shriram Aggressive Hybrid Fund,Aggressive Hybrid Fund
Sovereign,,6.70%,Shriram Aggressive Hybrid Fund,Aggressive Hybrid Fund
Financial Services,,36.09%,Sundaram Aggressive Hybrid Fund,Aggressive Hybrid Fund
Sovereign,,9.51%,Sundaram Aggressive Hybrid Fund,Aggressive Hybrid Fund
Automobile and Auto Components,,7.41%,Sundaram Aggressive Hybrid Fund,Aggressive Hybrid Fund
Information Technology,,6.12%,Sundaram Aggressive Hybrid Fund,Aggressive Hybrid Fund
Fast Moving Consumer Goods,,6.09%,Sundaram Aggressive Hybrid Fund,Aggressive Hybrid Fund
Financial Services,,34.09%,Tata Hybrid Equity Fund,Aggressive Hybrid Fund
Fast Moving Consumer Goods,,9.38%,Tata Hybrid Equity Fund,Aggressive Hybrid Fund
Information Technology,,8.12%,Tata Hybrid Equity Fund,Aggressive Hybrid Fund
Sovereign,,7.89%,Tata Hybrid Equity Fund,Aggressive Hybrid Fund
"Oil, Gas & Consumable Fuels",,7.25%,Tata Hybrid Equity Fund,Aggressive Hybrid Fund
Financial Services,,42.83%,Union Aggressive Hybrid Fund,Aggressive Hybrid Fund
Information Technology,,9.27%,Union Aggressive Hybrid Fund,Aggressive Hybrid Fund
Automobile and Auto Components,,7.11%,Union Aggressive Hybrid Fund,Aggressive Hybrid Fund
Current Assets,,6.96%,Union Aggressive Hybrid Fund,Aggressive Hybrid Fund
Capital Goods,,5.02%,Union Aggressive Hybrid Fund,Aggressive Hybrid Fund
Financial Services,,33.58%,UTI Aggressive Hybrid Fund,Aggressive Hybrid Fund
Sovereign,,14.44%,UTI Aggressive Hybrid Fund,Aggressive Hybrid Fund
Automobile and Auto Components,,8.14%,UTI Aggressive Hybrid Fund,Aggressive Hybrid Fund
Information Technology,,7.34%,UTI Aggressive Hybrid Fund,Aggressive Hybrid Fund
"Oil, Gas & Consumable Fuels",,7.07%,UTI Aggressive Hybrid Fund,Aggressive Hybrid Fund
Miscellaneous,,74.28%,Aditya Birla Sun Life Arbitrage Fund,Arbitrage Fund
Mutual Funds,,16.50%,Aditya Birla Sun Life Arbitrage Fund,Arbitrage Fund
Current Assets,,6.62%,Aditya Birla Sun Life Arbitrage Fund,Arbitrage Fund
Financial Services,,3.03%,Aditya Birla Sun Life Arbitrage Fund,Arbitrage Fund
Textiles,,-,Aditya Birla Sun Life Arbitrage Fund,Arbitrage Fund
Current Assets,,75.38%,Axis Arbitrage Fund,Arbitrage Fund
Mutual Funds,,11.35%,Axis Arbitrage Fund,Arbitrage Fund
Financial Services,,6.80%,Axis Arbitrage Fund,Arbitrage Fund
Sovereign,,6.22%,Axis Arbitrage Fund,Arbitrage Fund
Consumer Services,,0.67%,Axis Arbitrage Fund,Arbitrage Fund
Current Assets,,76.08%,Arbitrage Fund
Mutual Funds,,17.37%,Arbitrage Fund
Sovereign,,7.10%,Arbitrage Fund
Capital Goods,,-,Arbitrage Fund
Fast Moving Consumer Goods,,-0.01%,Arbitrage Fund
Financial Services,,43.41%,360 ONE Balanced Hybrid Fund,Balanced Hybrid Fund
Sovereign,,12.86%,360 ONE Balanced Hybrid Fund,Balanced Hybrid Fund
Power,,6.23%,360 ONE Balanced Hybrid Fund,Balanced Hybrid Fund
Information Technology,,6.03%,360 ONE Balanced Hybrid Fund,Balanced Hybrid Fund
Capital Goods,,5.60%,360 ONE Balanced Hybrid Fund,Balanced Hybrid Fund
Financial Services,,30.87%,WhiteOak Capital Balanced Hybrid Fund,Balanced Hybrid Fund
Sovereign,,24.64%,WhiteOak Capital Balanced Hybrid Fund,Balanced Hybrid Fund
Current Assets,,7.16%,WhiteOak Capital Balanced Hybrid Fund,Balanced Hybrid Fund
Power,,5.69%,WhiteOak Capital Balanced Hybrid Fund,Balanced Hybrid Fund
Information Technology,,5.00%,WhiteOak Capital Balanced Hybrid Fund,Balanced Hybrid Fund
Financial Services,,28.83%,Aditya Birla Sun Life Bal Bhavishya Yojna,Childrens Fund
Consumer Services,,9.66%,Aditya Birla Sun Life Bal Bhavishya Yojna,Childrens Fund
Capital Goods,,8.06%,Aditya Birla Sun Life Bal Bhavishya Yojna,Childrens Fund
Automobile and Auto Components,,7.50%,Aditya Birla Sun Life Bal Bhavishya Yojna,Childrens Fund
Information Technology,,5.64%,Aditya Birla Sun Life Bal Bhavishya Yojna,Childrens Fund
Financial Services,,27.56%,Axis Childrens Gift Fund,Childrens Fund
Sovereign,,17.93%,Axis Childrens Gift Fund,Childrens Fund
Information Technology,,7.95%,Axis Childrens Gift Fund,Childrens Fund
Automobile and Auto Components,,7.65%,Axis Childrens Gift Fund,Childrens Fund
Consumer Services,,6.84%,Axis Childrens Gift Fund,Childrens Fund
Financial Services,,26.01%,HDFC Childrens Gift Fund,Childrens Fund
Sovereign,,20.37%,HDFC Childrens Gift Fund,Childrens Fund
Capital Goods,,12.50%,HDFC Childrens Gift Fund,Childrens Fund
Information Technology,,8.64%,HDFC Childrens Gift Fund,Childrens Fund
Construction,,4.80%,HDFC Childrens Gift Fund,Childrens Fund
Financial Services,,13.76%,ICICI Prudential Child Care Fund (Gift Plan),Childrens Fund
Metals & Mining,,10.56%,ICICI Prudential Child Care Fund (Gift Plan),Childrens Fund
Capital Goods,,10.05%,ICICI Prudential Child Care Fund (Gift Plan),Childrens Fund
Construction Materials,,9.67%,ICICI Prudential Child Care Fund (Gift Plan),Childrens Fund
Sovereign,,8.00%,ICICI Prudential Child Care Fund (Gift Plan),Childrens Fund
Financial Services,,24.26%,LIC MF Childrens Gift Fund,Childrens Fund
Information Technology,,10.59%,LIC MF Childrens Gift Fund,Childrens Fund
Sovereign,,9.97%,LIC MF Childrens Gift Fund,Childrens Fund
Capital Goods,,8.78%,LIC MF Childrens Gift Fund,Childrens Fund
Fast Moving Consumer Goods,,6.75%,LIC MF Childrens Gift Fund,Childrens Fund
Financial Services,,32.04%,SBI Magnum Childrens Benefit Fund - Investment Plan,Childrens Fund
Current Assets,,13.37%,SBI Magnum Childrens Benefit Fund - Investment Plan,Childrens Fund
Fast Moving Consumer Goods,,12.95%,SBI Magnum Childrens Benefit Fund - Investment Plan,Childrens Fund
Services,,8.97%,SBI Magnum Childrens Benefit Fund - Investment Plan,Childrens Fund
Healthcare,,7.46%,SBI Magnum Childrens Benefit Fund - Investment Plan,Childrens Fund
Sovereign,,40.63%,SBI Magnum Childrens Benefit Fund - Savings Plan,Childrens Fund
Financial Services,,17.79%,SBI Magnum Childrens Benefit Fund - Savings Plan,Childrens Fund
Current Assets,,10.84%,SBI Magnum Childrens Benefit Fund - Savings Plan,Childrens Fund
Consumer Durables,,6.35%,SBI Magnum Childrens Benefit Fund - Savings Plan,Childrens Fund
Fast Moving Consumer Goods,,6.14%,SBI Magnum Childrens Benefit Fund - Savings Plan,Childrens Fund
Financial Services,,30.48%,Tata Young Citizens Fund,Childrens Fund
Information Technology,,11.87%,Tata Young Citizens Fund,Childrens Fund
Fast Moving Consumer Goods,,11.08%,Tata Young Citizens Fund,Childrens Fund
Consumer Durables,,8.26%,Tata Young Citizens Fund,Childrens Fund
"Oil, Gas & Consumable Fuels",,5.13%,Tata Young Citizens Fund,Childrens Fund
Financial Services,,25.20%,Union Childrens Fund,Childrens Fund
Automobile and Auto Components,,12.98%,Union Childrens Fund,Childrens Fund
Information Technology,,10.47%,Union Childrens Fund,Childrens Fund
Current Assets,,8.08%,Union Childrens Fund,Childrens Fund
Capital Goods,,5.66%,Union Childrens Fund,Childrens Fund
Financial Services,,30.11%,UTI CCF - Investment Plan,Childrens Fund
Information Technology,,10.28%,UTI CCF - Investment Plan,Childrens Fund
Automobile and Auto Components,,10.08%,UTI CCF - Investment Plan,Childrens Fund
Consumer Services,,7.57%,UTI CCF - Investment Plan,Childrens Fund
Fast Moving Consumer Goods,,6.98%,UTI CCF - Investment Plan,Childrens Fund
Financial Services,,33.12%,UTI CCF- Savings Plan,Childrens Fund
Sovereign,,32.05%,UTI CCF- Savings Plan,Childrens Fund
Information Technology,,4.13%,UTI CCF- Savings Plan,Childrens Fund
Automobile and Auto Components,,4.06%,UTI CCF- Savings Plan,Childrens Fund
Current Assets,,3.94%,UTI CCF- Savings Plan,Childrens Fund
Financial Services,,31.92%,Invesco India Contra Fund,Contra Fund
Information Technology,,12.85%,Invesco India Contra Fund,Contra Fund
Automobile and Auto Components,,9.70%,Invesco India Contra Fund,Contra Fund
Healthcare,,7.67%,Invesco India Contra Fund,Contra Fund
Capital Goods,,7.64%,Invesco India Contra Fund,Contra Fund
Financial Services,,21.37%,Aditya Birla Sun Life Dividend Yield Fund,Dividend Yield Fund
Information Technology,,14.46%,Aditya Birla Sun Life Dividend Yield Fund,Dividend Yield Fund
"Oil, Gas & Consumable Fuels",,9.99%,Aditya Birla Sun Life Dividend Yield Fund,Dividend Yield Fund
Fast Moving Consumer Goods,,8.80%,Aditya Birla Sun Life Dividend Yield Fund,Dividend Yield Fund
Power,,8.76%,Aditya Birla Sun Life Dividend Yield Fund,Dividend Yield Fund
Financial Services,,24.08%,HDFC Dividend Yield Fund,Dividend Yield Fund
Information Technology,,11.31%,HDFC Dividend Yield Fund,Dividend Yield Fund
"Oil, Gas & Consumable Fuels",,10.63%,HDFC Dividend Yield Fund,Dividend Yield Fund
Power,,9.49%,HDFC Dividend Yield Fund,Dividend Yield Fund
Capital Goods,,8.47%,HDFC Dividend Yield Fund,Dividend Yield Fund
Financial Services,,23.48%,ICICI Prudential Dividend Yield Equity Fund,Dividend Yield Fund
Power,,13.15%,ICICI Prudential Dividend Yield Equity Fund,Dividend Yield Fund
"Oil, Gas & Consumable Fuels",,10.84%,ICICI Prudential Dividend Yield Equity Fund,Dividend Yield Fund
Current Assets,,7.85%,ICICI Prudential Dividend Yield Equity Fund,Dividend Yield Fund
Automobile and Auto Components,,6.63%,ICICI Prudential Dividend Yield Equity Fund,Dividend Yield Fund
Power,,18.82%,LIC MF Dividend Yield Fund,Dividend Yield Fund
Financial Services,,14.71%,LIC MF Dividend Yield Fund,Dividend Yield Fund
Information Technology,,13.19%,LIC MF Dividend Yield Fund,Dividend Yield Fund
Capital Goods,,11.54%,LIC MF Dividend Yield Fund,Dividend Yield Fund
Automobile and Auto Components,,10.13%,LIC MF Dividend Yield Fund,Dividend Yield Fund
Financial Services,,20.98%,SBI Dividend Yield Fund,Dividend Yield Fund
Information Technology,,15.68%,SBI Dividend Yield Fund,Dividend Yield Fund
Automobile and Auto Components,,12.28%,SBI Dividend Yield Fund,Dividend Yield Fund
Fast Moving Consumer Goods,,9.78%,SBI Dividend Yield Fund,Dividend Yield Fund
Capital Goods,,7.46%,SBI Dividend Yield Fund,Dividend Yield Fund
Financial Services,,26.37%,Sundaram Dividend Yield Fund,Dividend Yield Fund
Information Technology,,12.70%,Sundaram Dividend Yield Fund,Dividend Yield Fund
"Oil, Gas & Consumable Fuels",,10.45%,Sundaram Dividend Yield Fund,Dividend Yield Fund
Power,,7.99%,Sundaram Dividend Yield Fund,Dividend Yield Fund
Fast Moving Consumer Goods,,6.21%,Sundaram Dividend Yield Fund,Dividend Yield Fund
Financial Services,,26.35%,Tata Dividend Yield Fund,Dividend Yield Fund
Capital Goods,,16.18%,Tata Dividend Yield Fund,Dividend Yield Fund
Fast Moving Consumer Goods,,9.03%,Tata Dividend Yield Fund,Dividend Yield Fund
Current Assets,,8.91%,Tata Dividend Yield Fund,Dividend Yield Fund
Information Technology,,7.24%,Tata Dividend Yield Fund,Dividend Yield Fund
"Oil, Gas & Consumable Fuels",,24.16%,Templeton India Equity Income Fund,Dividend Yield Fund
Power,,17.30%,Templeton India Equity Income Fund,Dividend Yield Fund
Information Technology,,13.85%,Templeton India Equity Income Fund,Dividend Yield Fund
Fast Moving Consumer Goods,,8.37%,Templeton India Equity Income Fund,Dividend Yield Fund
Realty,,6.22%,Templeton India Equity Income Fund,Dividend Yield Fund
Financial Services,,21.63%,UTI Dividend Yield Fund,Dividend Yield Fund
Information Technology,,14.85%,UTI Dividend Yield Fund,Dividend Yield Fund
"Oil, Gas & Consumable Fuels",,11.29%,UTI Dividend Yield Fund,Dividend Yield Fund
Fast Moving Consumer Goods,,11.04%,UTI Dividend Yield Fund,Dividend Yield Fund
Healthcare,,8.73%,UTI Dividend Yield Fund,Dividend Yield Fund
Financial Services,,35.84%,Aditya Birla Sun Life Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Miscellaneous,,11.16%,Aditya Birla Sun Life Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Fast Moving Consumer Goods,,6.53%,Aditya Birla Sun Life Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Information Technology,,5.52%,Aditya Birla Sun Life Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Sovereign,,4.76%,Aditya Birla Sun Life Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Financial Services,,32.89%,Axis Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Sovereign,,10.69%,Axis Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Information Technology,,8.98%,Axis Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Current Assets,,8.24%,Axis Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Automobile and Auto Components,,6.49%,Axis Balanced Advantage Fund,Dynamic Asset Allocation or Balanced Advantage
Financial Services,,28.11%,Aditya Birla Sun Life ELSS Tax Saver Fund,ELSS
Automobile and Auto Components,,10.30%,Aditya Birla Sun Life ELSS Tax Saver Fund,ELSS
Information Technology,,7.68%,Aditya Birla Sun Life ELSS Tax Saver Fund,ELSS
Healthcare,,7.40%,Aditya Birla Sun Life ELSS Tax Saver Fund,ELSS
Consumer Services,,7.03%,Aditya Birla Sun Life ELSS Tax Saver Fund,ELSS
Financial Services,,25.26%,Axis ELSS Tax Saver Fund,ELSS
Consumer Services,,15.51%,Axis ELSS Tax Saver Fund,ELSS
Information Technology,,10.65%,Axis ELSS Tax Saver Fund,ELSS
Automobile and Auto Components,,9.74%,Axis ELSS Tax Saver Fund,ELSS
Healthcare,,8.93%,Axis ELSS Tax Saver Fund,ELSS
Financial Services,,28.25%,Bandhan ELSS Tax saver Fund,ELSS
Automobile and Auto Components,,9.59%,Bandhan ELSS Tax saver Fund,ELSS
Information Technology,,8.99%,Bandhan ELSS Tax saver Fund,ELSS
Healthcare,,6.65%,Bandhan ELSS Tax saver Fund,ELSS
Fast Moving Consumer Goods,,6.39%,Bandhan ELSS Tax saver Fund,ELSS
Financial Services,,39.37%,Bank of India ELSS Tax Saver,ELSS
Capital Goods,,8.57%,Bank of India ELSS Tax Saver,ELSS
Healthcare,,6.87%,Bank of India ELSS Tax Saver,ELSS
Automobile and Auto Components,,6.50%,Bank of India ELSS Tax Saver,ELSS
Information Technology,,5.66%,Bank of India ELSS Tax Saver,ELSS
Financial Services,,30.87%,Baroda BNP Paribas ELSS Tax Saver Fund,ELSS
Information Technology,,12.02%,Baroda BNP Paribas ELSS Tax Saver Fund,ELSS
Healthcare,,6.92%,Baroda BNP Paribas ELSS Tax Saver Fund,ELSS
Consumer Services,,6.55%,Baroda BNP Paribas ELSS Tax Saver Fund,ELSS
Automobile and Auto Components,,5.41%,Baroda BNP Paribas ELSS Tax Saver Fund,ELSS
Financial Services,,30.68%,Canara Robeco ELSS Tax Saver,ELSS
Information Technology,,10.64%,Canara Robeco ELSS Tax Saver,ELSS
Automobile and Auto Components,,8.87%,Canara Robeco ELSS Tax Saver,ELSS
Capital Goods,,7.96%,Canara Robeco ELSS Tax Saver,ELSS
